dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,50,5,0.1,1.2284973738333673,0.9684469863457096,0.414248455544736,0.6318702181122369,0.7909090909090909
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,100,2,0.05,1.2725745030247622,1.071913658706341,0.3714621832319889,0.6114336744938716,0.7818181818181819
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,100,2,0.1,1.2495540581939817,1.03510058960263,0.39399657856609294,0.6207721357811788,0.7818181818181819
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,100,3,0.05,1.199622006693447,0.9945465003901895,0.44146058496237894,0.6652198862406472,0.7909090909090909
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,100,3,0.1,1.15056575752413,0.9266357847056178,0.48620737410560666,0.6999597011779002,0.7909090909090909
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,100,5,0.05,1.234715101485788,0.9834983477058482,0.4083041852633943,0.6342394716435863,0.7818181818181819
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,100,5,0.1,1.2228224692138572,0.9580629807240679,0.419647582316759,0.6469401484685591,0.8090909090909091
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,200,2,0.05,1.2141848180674661,1.0080997018837266,0.4278174959472394,0.6558675696695309,0.7727272727272727
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,200,2,0.1,1.2463750819531156,1.022519660667338,0.39707610907573165,0.6304846897313308,0.7818181818181819
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,200,3,0.05,1.162289635824993,0.9535314214323409,0.4756832791150579,0.6900624101102939,0.7909090909090909
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,200,3,0.1,1.125996639242353,0.8958237425587069,0.5079160885880358,0.7184010839277606,0.8090909090909091
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,200,5,0.05,1.2237182665929724,0.9645441641920837,0.4187969787169926,0.6431299454210674,0.7909090909090909
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,200,5,0.1,1.2188400210355137,0.9546570832225978,0.42342157229208366,0.647540544100285,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,50,2,0.05,1.2062051958590183,1.0006480323212026,0.4353135491512946,0.6655154656285739,0.8363636363636363
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,50,2,0.1,1.160853929517021,0.9396946699822892,0.4769777927678721,0.6787241695265456,0.8181818181818182
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,50,3,0.05,1.1501738476052767,0.9579469404577556,0.4865573343420252,0.6917065704556359,0.8181818181818182
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,50,3,0.1,1.1473328911489007,0.9038891421432419,0.48909063274132825,0.6929720197101968,0.7909090909090909
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,50,5,0.05,1.1311550431637483,0.9249459889839483,0.5033971018326645,0.6972024996998969,0.8545454545454545
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,50,5,0.1,1.1036648674415752,0.8778872378639083,0.5272414264350642,0.716761542010355,0.8363636363636363
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,100,2,0.05,1.1684201901595999,0.9541664897175377,0.4701376230642672,0.673182056002921,0.8
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,100,2,0.1,1.1925804487810656,0.9310608544557722,0.44799838547409365,0.6578719673939085,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,100,3,0.05,1.1304306898332543,0.9064897615119897,0.5040329135022346,0.7060098417745234,0.8545454545454545
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,100,3,0.1,1.1932769970593675,0.9263003209496347,0.4473533840228586,0.6753388618491982,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,100,5,0.05,1.1230745144920868,0.900943637204117,0.5104668328929367,0.6993823976858559,0.8545454545454545
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,100,5,0.1,1.1087192918843027,0.8770277799386726,0.5229013515147294,0.7108545726797586,0.8272727272727273
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,200,2,0.05,1.1953801205116201,0.9344571287551563,0.4454036132466018,0.6570683609329829,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,200,2,0.1,1.2591820087422783,0.9573044149791954,0.3846219557737718,0.6256122482584776,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,200,3,0.05,1.1599354053043907,0.918146506510421,0.4778051466451181,0.6839984142298615,0.8545454545454545
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,200,3,0.1,1.2389814911100652,0.9565990631491118,0.40420807232194056,0.6451574352851265,0.8
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,200,5,0.05,1.1315077937250952,0.9021100948820091,0.5030873224322024,0.6999227537544093,0.8545454545454545
"ElasticNet (top-200, l1r=0.5)",Gradient Boosting,200,5,0.1,1.1145742600875599,0.8810140437858822,0.517849084131327,0.709422860019489,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,50,2,0.05,1.1149349260642898,0.9061306945832065,0.5175369944434309,0.7375964797037704,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,50,2,0.1,1.0947102882617854,0.8669356181204505,0.5348817537773597,0.7238362960183323,0.8636363636363636
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,50,3,0.05,1.1239970527049226,0.8927030013136502,0.5096622584256747,0.7133900896168168,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,50,3,0.1,1.1315526548084593,0.8728901613171577,0.5030479192869748,0.7004769651067716,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,50,5,0.05,1.1280512056797842,0.9087449817381863,0.5061186738551791,0.7124433118898642,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,50,5,0.1,1.1575154920416684,0.9085998801617131,0.47998173007347866,0.6883859207693976,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,100,2,0.05,1.0964937884491759,0.8683680089837008,0.5333649794681077,0.7217540626095533,0.8727272727272727
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,100,2,0.1,1.096540703917131,0.8572821716005169,0.5333250469688338,0.7194587039251856,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,100,3,0.05,1.1213560958387343,0.8746867910284143,0.5119637582286459,0.7066287111179949,0.8727272727272727
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,100,3,0.1,1.1533645789961817,0.8833983480660227,0.4837046699318457,0.6954244049444006,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,100,5,0.05,1.1417122780800046,0.9026015643014552,0.49408410945549563,0.7018024539245052,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,100,5,0.1,1.192582209462594,0.9258244384758062,0.44799675556348295,0.6691963526938477,0.8272727272727273
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,200,2,0.05,1.106269808179314,0.8638995429652204,0.5250071224429669,0.7163320282122742,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,200,2,0.1,1.1260946736333532,0.8674392563801863,0.5078303987290402,0.7029108766292301,0.8181818181818182
