dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso->PCA (top-100, 95%var)",Random Forest,50,20.0,1.2186400766278929,0.9847272727272727,0.4236107261996406,0.6417673126708014,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",Random Forest,50,30.0,1.2476712853807435,1.004,0.3958214010777521,0.6219426591117598,0.7454545454545455
"Lasso->PCA (top-100, 95%var)",Random Forest,50,,1.2563106159053037,1.0023636363636363,0.38742532717474987,0.6081015424301207,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",Random Forest,100,10.0,1.215448643020252,0.9783968211614285,0.42662572535863363,0.6516417081077672,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",Random Forest,100,20.0,1.2347767556783844,0.9820909090909092,0.40824509237875295,0.6301802170360695,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",Random Forest,100,30.0,1.2327165124228685,0.9831818181818182,0.4102181485758276,0.6274024640968473,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Random Forest,100,,1.2218718873478138,0.9821818181818182,0.4205495252758533,0.6403219448277174,0.7727272727272727
"Ridge->PCA (top-100, 95%var)",Random Forest,10,10.0,1.3955112112714008,1.1694226350901347,0.2441569270115318,0.4681027028250087,0.7
"Ridge->PCA (top-100, 95%var)",Random Forest,10,20.0,1.3191595120309818,1.1036363636363635,0.3246022581472928,0.5607970047722918,0.7181818181818181
"Ridge->PCA (top-100, 95%var)",Random Forest,10,30.0,1.3413358334816148,1.1245454545454547,0.30170323325635107,0.5277833400746651,0.7181818181818181
"Ridge->PCA (top-100, 95%var)",Random Forest,10,,1.3187804283434823,1.0972727272727274,0.32499037721324087,0.5780003572922932,0.7454545454545455
"Ridge->PCA (top-100, 95%var)",Random Forest,20,10.0,1.310741012677962,1.107172558445945,0.3331951428013793,0.5657712774871422,0.7727272727272727
"Ridge->PCA (top-100, 95%var)",Random Forest,20,20.0,1.3108897048118953,1.085909090909091,0.3330438478316654,0.5689369218302501,0.7181818181818181
"Ridge->PCA (top-100, 95%var)",Random Forest,20,30.0,1.2786622981566607,1.0831818181818185,0.3654341480626122,0.6073671060491461,0.7636363636363637
