dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.8707685374535652,1.3481484176011596,-0.3371838877383695,0.43511289372152523,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.7311956547055807,1.2986585240677821,-0.14509976879424502,0.44043365539742474,0.7
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.4755025344155341,1.1958925465564512,0.16817697048512315,0.43429218698122185,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.480260960774295,1.2205431465112995,0.16280313887055153,0.42098106136742464,0.5545454545454546
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.7372914700142097,1.383419821579659,-0.1531781232936944,0.42108249703195655,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.5253731567697606,1.2372375722539566,0.11099701488950375,0.46282788369884953,0.6727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.4466579659336611,1.1827140553263018,0.20038166118817324,0.48726004671496015,0.6909090909090909
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.3900251478587629,1.1464307863221714,0.2617621039083874,0.4890536136923648,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.4174070511763996,1.1770113175038934,0.23239075248453145,0.475023217002796,0.6545454545454545
PCA (n_components=50),Poisson Regression,0.1,1.2362097310726194,0.9758475093539148,0.4161042205215346,0.6543937468793299,0.7909090909090909
PCA (n_components=50),Poisson Regression,0.5,1.2104237841012486,0.9682760526372504,0.44020899241758094,0.6560674353441058,0.7818181818181819
PCA (n_components=50),Poisson Regression,1.0,1.2161994221181012,0.9885019520774999,0.43485406814989824,0.6597467835393986,0.8
PCA (n_components=50),Poisson Regression,5.0,1.3822223952051356,1.1573152948924155,0.27002687572515316,0.6575566953279149,0.6181818181818182
PCA (n_components=50),Poisson Regression,10.0,1.482304522106944,1.2537129310608264,0.16048997364204065,0.6524526371171516,0.5818181818181818
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.1,1.457546341378658,1.1387185466424619,0.1882995932640006,0.5108853351268399,0.7545454545454545
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.5,1.4225876136026139,1.1107169355705975,0.22676933997459625,0.5114386205697411,0.7272727272727273
"Lasso->PCA (top-100, 95%var)",Poisson Regression,1.0,1.4098013006195316,1.1084639596629253,0.24060657243786898,0.5104842031807366,0.6545454545454545
"Lasso->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4837348194108761,1.2334028729390585,0.15886908101234887,0.5047623095587337,0.5818181818181818
"Lasso->PCA (top-100, 95%var)",Poisson Regression,10.0,1.545513771565528,1.299623854341973,0.08736571729469489,0.5025768320592741,0.5636363636363636
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.1,1.6131025447553098,1.289259986003567,0.005797220602410169,0.46591706075504763,0.6636363636363637
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.5,1.497886825236517,1.231057151131128,0.14274698320984902,0.4726072039021276,0.6818181818181818
"Ridge->PCA (top-100, 95%var)",Poisson Regression,1.0,1.4361944057771894,1.191027478998353,0.21190697870640374,0.4784581974608074,0.7
"Ridge->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4511115733228177,1.2272456308300608,0.1954507544096683,0.48550336543374895,0.6181818181818182
"Ridge->PCA (top-100, 95%var)",Poisson Regression,10.0,1.5179764620000282,1.2861436208578643,0.11959784886949121,0.47861035095760524,0.5818181818181818
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.1,3.3735866183165726,1.652212951829444,-3.3484527052494313,0.4857431224590061,0.6545454545454545
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.5,1.9853737613806852,1.37048738967931,-0.5060367730520243,0.5075333474852637,0.6909090909090909
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,1.0,1.6951562892973406,1.271906919639648,-0.09791953096865647,0.5125313593194709,0.6818181818181818
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,5.0,1.395052722658234,1.134809060398222,0.2564121886433599,0.5116829883070224,0.7090909090909091
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,10.0,1.3896718086189306,1.1420280913463774,0.26213737087973943,0.5038078921697291,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.1,1.4030418143932477,1.1108793283077818,0.24787114754099127,0.5402786242809644,0.7818181818181819
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.5,1.372428222667276,1.0986443450596912,0.28033513407050237,0.5442576687578285,0.7909090909090909
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,1.0,1.365325105961737,1.105887862511627,0.2877652276949042,0.5442253937736593,0.7727272727272727
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,5.0,1.4600537518052419,1.2201031064389776,0.18550446197408166,0.5438657582357735,0.5909090909090909
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,10.0,1.530165301439788,1.288425915825448,0.10540241934583217,0.5404123349296654,0.5818181818181818
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.5375482518256745,1.21381607301344,0.06933039487976755,0.45563111767177666,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.4658745808567373,1.1720640429126044,0.15407540765541494,0.5001730445360092,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.4254138932161224,1.1522511181592292,0.20012891461543902,0.5254443728252429,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.3816885978583202,1.1394485952117444,0.2484491503264753,0.5498577950984523,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.4164168606192018,1.1672611696374604,0.21019441863414567,0.548077409495305,0.6090909090909091
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.5256230620277258,1.1723981498012093,0.0837109154922786,0.5854424451717208,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.4051940152265747,1.0868885130455639,0.2226607344096223,0.596816618480947,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.3476810175753045,1.0444656593657398,0.28498978676122555,0.6002805293305938,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.3019818986098952,1.043202243979711,0.33265883465237167,0.5896074405075811,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.3274663674325222,1.0912933218937102,0.3062786252069106,0.577490671130721,0.7
PCA (n_components=50),Poisson Regression,0.1,1.3088558795804917,1.0736220053040932,0.3255936057554558,0.6122635391673211,0.7
PCA (n_components=50),Poisson Regression,0.5,1.266795500462717,1.0457250232933746,0.3682415680664276,0.6236746116600324,0.7363636363636363
PCA (n_components=50),Poisson Regression,1.0,1.259044596328314,1.0324374257566276,0.375948761189593,0.6286975130119168,0.7363636363636363
PCA (n_components=50),Poisson Regression,5.0,1.3887541798059893,1.1571699787092664,0.24074304137375968,0.6381298667902492,0.6090909090909091
PCA (n_components=50),Poisson Regression,10.0,1.4790650900738973,1.2429750283160523,0.1387829957648623,0.6368799069496975,0.5727272727272728
