dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc,qwk
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.0232215869101848,0.8035617870729326,0.5936461626693654,0.7665343398804392,0.8818181818181818,0.6791479227308812
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.0232215869101848,0.8035617870729326,0.5936461626693654,0.7665343398804392,0.8818181818181818,0.6791479227308812
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.1037420742183837,0.8342431565232091,0.5271752805543113,0.7153021187824672,0.8545454545454545,0.6368603411513859
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.1037420742183837,0.8342431565232091,0.5271752805543113,0.7153021187824672,0.8545454545454545,0.6368603411513859
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.415030892240924,1.189049064010995,0.22286437148597127,0.5628247204637485,0.6,0.23121675531914898
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.415030892240924,1.189049064010995,0.22286437148597127,0.5628247204637485,0.6,0.23121675531914898
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2238333900123988,1.0019741282689156,0.4186876182075375,0.6501915217357522,0.7818181818181819,0.47097512153274235
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2238333900123988,1.0019741282689156,0.4186876182075375,0.6501915217357522,0.7818181818181819,0.47097512153274235
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2845254545622846,1.0426527870622122,0.3596013508672321,0.6211138994484691,0.7636363636363637,0.44597334878331396
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2845254545622846,1.0426527870622122,0.3596013508672321,0.6211138994484691,0.7636363636363637,0.44597334878331396
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4146540930497378,1.1900435660871516,0.22327819296616802,0.6025986218516269,0.5909090909090909,0.23358880373208923
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4146540930497378,1.1900435660871516,0.22327819296616802,0.6025986218516269,0.5909090909090909,0.23358880373208923
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2252408111691084,1.0259112951116742,0.4173498188097431,0.6349229989781667,0.7636363636363637,0.41988084038883655
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2252408111691084,1.0259112951116742,0.4173498188097431,0.6349229989781667,0.7636363636363637,0.41988084038883655
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2309682377618931,1.0026246995585892,0.41188985409349144,0.6273164481669921,0.7818181818181819,0.47871728501581823
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2309682377618931,1.0026246995585892,0.41188985409349144,0.6273164481669921,0.7818181818181819,0.47871728501581823
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,scale,1.2816035137364892,1.0736042343990506,0.3625114975076099,0.7435207134735885,0.6818181818181818,0.29873217115689377
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,auto,1.2816035137364892,1.0736042343990506,0.3625114975076099,0.7435207134735885,0.6818181818181818,0.29873217115689377
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,scale,1.0533381333583731,0.8373818810775578,0.569373659207034,0.7606042784101609,0.9,0.6635682574916759
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,auto,1.0533381333583731,0.8373818810775578,0.569373659207034,0.7606042784101609,0.9,0.6635682574916759
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,scale,1.105956587616416,0.8520964717196404,0.5252760558867404,0.7273192682728596,0.8636363636363636,0.6244477172312224
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,auto,1.105956587616416,0.8520964717196404,0.5252760558867404,0.7273192682728596,0.8636363636363636,0.6244477172312224
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4533645575297232,1.2239691094306724,0.1801883083554281,0.6131794402538133,0.5909090909090909,0.23358880373208923
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4533645575297232,1.2239691094306724,0.1801883083554281,0.6131794402538133,0.5909090909090909,0.23358880373208923
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.1688407027526686,0.9879457634664337,0.46975616115674357,0.7176898460255622,0.8090909090909091,0.4773519163763066
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.1688407027526686,0.9879457634664337,0.46975616115674357,0.7176898460255622,0.8090909090909091,0.4773519163763066
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.182246429590977,0.977295756332175,0.45752341206712177,0.685323903047595,0.8545454545454545,0.5398773006134969
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.182246429590977,0.977295756332175,0.45752341206712177,0.685323903047595,0.8545454545454545,0.5398773006134969
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3588792430724947,1.1267479634617226,0.29447444356422214,0.6077241197706165,0.6727272727272727,0.23703078869675243
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3588792430724947,1.1267479634617226,0.29447444356422214,0.6077241197706165,0.6727272727272727,0.23703078869675243
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.1963360487346086,0.9763114003362574,0.45316362082246286,0.6811865944518188,0.8,0.5005988023952097
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.1963360487346086,0.9763114003362574,0.45316362082246286,0.6811865944518188,0.8,0.5005988023952097
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2274268617001896,0.9921555218562204,0.4243715279939235,0.6572708311824159,0.7818181818181819,0.512006196746708
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2274268617001896,0.9921555218562204,0.4243715279939235,0.6572708311824159,0.7818181818181819,0.512006196746708
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.313613531094748,1.0647693573093753,0.34069518583440994,0.6612590970833284,0.6727272727272727,0.27807486631016043
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.313613531094748,1.0647693573093753,0.34069518583440994,0.6612590970833284,0.6727272727272727,0.27807486631016043
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.1344625187768551,0.9059765197550343,0.5082647700033069,0.7097176804574222,0.8272727272727273,0.5633802816901409
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.1344625187768551,0.9059765197550343,0.5082647700033069,0.7097176804574222,0.8272727272727273,0.5633802816901409
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.173365440250391,0.9331006068204954,0.47396140951323595,0.6701301070178439,0.7909090909090909,0.49555469655972173
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.173365440250391,0.9331006068204954,0.47396140951323595,0.6701301070178439,0.7909090909090909,0.49555469655972173
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.435848742682095,1.183724991962754,0.21228628931992766,0.6050867924927876,0.6545454545454545,0.2427695004382121
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,auto,1.435848742682095,1.183724991962754,0.21228628931992766,0.6050867924927876,0.6545454545454545,0.2427695004382121
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.1787726672030872,0.9106828869211071,0.4691019447587398,0.6725553415425607,0.8,0.5556831228473019
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.1787726672030872,0.9106828869211071,0.4691019447587398,0.6725553415425607,0.8,0.5556831228473019
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.220051742031305,0.9283599676637975,0.4312681908450905,0.6500320133044589,0.8,0.5772678379347437
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.220051742031305,0.9283599676637975,0.4312681908450905,0.6500320133044589,0.8,0.5772678379347437
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4891273550663264,1.2194066188469272,0.15274390150485695,0.5447694577925122,0.5727272727272728,0.19215155615696877
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4891273550663264,1.2194066188469275,0.15274390150485695,0.5447694577925122,0.5727272727272728,0.19215155615696877
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2777904034146876,1.049457439960095,0.3761642422492055,0.6193799997677344,0.7545454545454545,0.4998056743101439
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2777904034146872,1.0494574399600949,0.37616424224920597,0.6193799997677344,0.7545454545454545,0.4998056743101439
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2962268564420971,1.049174120334504,0.35803248707956337,0.5980231816717494,0.7181818181818181,0.4340320591861899
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.296226856442096,1.0491741203345029,0.35803248707956437,0.5980231816717494,0.7181818181818181,0.4340320591861899
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4469147870399406,1.210277707865752,0.20009772801308767,0.5390982820027752,0.6272727272727273,0.2001953125
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4469147870399406,1.210277707865752,0.20009772801308767,0.5390982820027752,0.6272727272727273,0.2001953125
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2424668421782001,1.0176721179002564,0.41017845109291584,0.6519085730982986,0.7545454545454545,0.446843853820598
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2424668421782001,1.0176721179002564,0.41017845109291584,0.6519085730982986,0.7545454545454545,0.446843853820598
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2390843322834657,1.012686418547798,0.41338555722077175,0.6539695613731057,0.7727272727272727,0.4801980198019803
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2390843322834657,1.012686418547798,0.41338555722077175,0.6539695613731057,0.7727272727272727,0.4801980198019803
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,scale,1.3364222364670275,1.102241589223209,0.3176009609114676,0.6682212722398349,0.6636363636363637,0.2901729228173767
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,auto,1.3364222364670275,1.102241589223209,0.3176009609114676,0.6682212722398349,0.6636363636363637,0.2901729228173767
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,scale,1.18376432122702,0.9491121101126211,0.4645961219065391,0.679572845243357,0.8181818181818182,0.5273972602739726
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,auto,1.18376432122702,0.9491121101126211,0.4645961219065391,0.679572845243357,0.8181818181818182,0.5273972602739726
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,scale,1.2498084009487822,0.9954807184653107,0.4031875154601018,0.6246638757474405,0.7727272727272727,0.4893617021276596
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,auto,1.2498084009487822,0.9954807184653107,0.4031875154601018,0.6246638757474405,0.7727272727272727,0.4893617021276596
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.5318074714298813,1.2732603460126535,0.10348122873176546,0.4782691582678162,0.5636363636363636,0.18403247631935038
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.5318074714298815,1.2732603460126535,0.10348122873176524,0.4782691582678162,0.5636363636363636,0.18403247631935038
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.3089612897219751,1.0890934559244052,0.3453568517576665,0.6198456816821762,0.7181818181818181,0.39148580968280466
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.3089612897219751,1.0890934559244054,0.3453568517576666,0.6198456816821762,0.7181818181818181,0.39148580968280466
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3112888806901886,1.071205077741505,0.343026612892011,0.6125791995320742,0.7181818181818181,0.4030226700251889
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.31128888069019,1.0712050777415052,0.34302661289200953,0.6125791995320742,0.7181818181818181,0.4030226700251889
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3868010314790273,1.1416197937558412,0.26518276797414964,0.5292728546792553,0.7,0.2072113190324053
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3868010314790273,1.1416197937558412,0.26518276797414964,0.5292728546792553,0.7,0.2072113190324053
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.209734795244316,0.9856729988853726,0.44084609159177224,0.6385743939243806,0.7727272727272727,0.42145302396348416
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.209734795244316,0.9856729988853726,0.44084609159177224,0.6385743939243806,0.7727272727272727,0.42145302396348416
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.1921793609405904,0.9473537875058167,0.45695700190413835,0.6597882799476162,0.7818181818181819,0.4334140435835352
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.1921793609405904,0.9473537875058167,0.45695700190413835,0.6597882799476162,0.7818181818181819,0.4334140435835352
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.392816028355348,1.1619955526437429,0.2587946725502184,0.5300382328752687,0.6454545454545455,0.07949587978671835
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3928160283553477,1.1619955526437429,0.2587946725502185,0.5300382328752687,0.6454545454545455,0.07949587978671835
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.247179461420999,0.9941011898777905,0.4056956339390726,0.6010293659115123,0.8,0.373259052924791
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.247179461420999,0.9941011898777905,0.4056956339390725,0.6010293659115123,0.8,0.373259052924791
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2417668574033858,0.9963551508342353,0.41084285482458205,0.6023111438542333,0.8090909090909091,0.4031620553359684
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2417668574033849,0.996355150834236,0.4108428548245828,0.6023111438542333,0.8090909090909091,0.4031620553359684
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.401233446440899,1.1531649632055323,0.2498087222761014,0.641036514145291,0.6454545454545455,0.23042304230423027
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,auto,1.401233446440899,1.1531649632055323,0.2498087222761014,0.641036514145291,0.6454545454545455,0.23042304230423027
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.1717303687862117,0.9308889293723634,0.47542644569313697,0.6793515310661966,0.8727272727272727,0.48810004033884635
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.1717303687862117,0.9308889293723634,0.47542644569313697,0.6793515310661966,0.8727272727272727,0.48810004033884635
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.2323786646883204,0.9792438867582954,0.4197176483164766,0.6238247261590404,0.7909090909090909,0.40572792362768495
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.2323786646883204,0.9792438867582954,0.4197176483164766,0.6238247261590404,0.7909090909090909,0.40572792362768495
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4735013185822965,1.214105204568424,0.1704318341611175,0.5526491646418296,0.5909090909090909,0.15333960489181564
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4735013185822965,1.214105204568424,0.1704318341611175,0.5526491646418296,0.5909090909090909,0.15333960489181564
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2870137502729764,1.0626443087098199,0.3671257962032366,0.5780173021988482,0.7818181818181819,0.35019455252918286
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2870137502729764,1.0626443087098199,0.3671257962032366,0.5780173021988482,0.7818181818181819,0.35019455252918286
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3065487353999405,1.069098709752907,0.34776778125296903,0.5538202854959704,0.7181818181818181,0.33872976338729766
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3065487353999405,1.069098709752907,0.34776778125296903,0.5538202854959704,0.7181818181818181,0.33872976338729766
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4508482382468597,1.2127607699074074,0.19574273307870171,0.5486424558928203,0.5818181818181818,0.13211186113789786
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4508482382468597,1.2127607699074074,0.19574273307870171,0.5486424558928203,0.5818181818181818,0.13211186113789786
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2918967075924188,1.088019407925929,0.3623144100740032,0.5603075573139865,0.7181818181818181,0.25742574257425743
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2918967075924188,1.088019407925929,0.3623144100740032,0.5603075573139865,0.7181818181818181,0.25742574257425743
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2991941223677996,1.0885550789043277,0.35508999501405336,0.5378764433163685,0.7090909090909091,0.24472573839662448
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2991941223677996,1.0885550789043277,0.35508999501405336,0.5378764433163685,0.7090909090909091,0.24472573839662448
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,scale,1.397225876545616,1.1609906618215105,0.2540937252179467,0.5145001333537943,0.6818181818181818,0.16696914700544474
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,auto,1.397225876545616,1.1609906618215105,0.2540937252179467,0.5145001333537943,0.6818181818181818,0.16696914700544474
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,scale,1.2113967405112411,0.9883311203481535,0.43930869426419417,0.649902913367782,0.7818181818181819,0.41320293398533015
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,auto,1.2113967405112411,0.9883311203481535,0.43930869426419417,0.649902913367782,0.7818181818181819,0.41320293398533015
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,scale,1.2547137234759964,1.0334981421723448,0.3984935114043423,0.6129803314781775,0.7727272727272727,0.4118811881188118
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,auto,1.2547137234759964,1.0334981421723448,0.3984935114043423,0.6129803314781775,0.7727272727272727,0.4118811881188118
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.5166922684117676,1.2591338839527844,0.12108684238762202,0.45695383658004873,0.5545454545454546,0.13847583643122674
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.5166922684117676,1.2591338839527844,0.12108684238762202,0.45695383658004873,0.5545454545454546,0.13847583643122674
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.3186902675511405,1.1032261028528283,0.33558929353681566,0.5581266905265512,0.7363636363636363,0.2471804511278196
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.3186902675511405,1.1032261028528283,0.33558929353681566,0.5581266905265512,0.7363636363636363,0.2471804511278196
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3621183133327963,1.142691270555982,0.2911070060895312,0.5079390901433912,0.6818181818181818,0.1964285714285714
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3621183133327963,1.142691270555982,0.2911070060895312,0.5079390901433912,0.6818181818181818,0.1964285714285714
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3989693181633764,1.1596557825940865,0.22953236096869234,0.5374458322537128,0.6545454545454545,0.19756933624181994
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3989693181633764,1.1596557825940865,0.22953236096869234,0.5374458322537128,0.6545454545454545,0.19756933624181994
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.2039088078858184,1.000077244653432,0.4294086200471391,0.637617890619396,0.7818181818181819,0.45777906304222094
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.2039088078858184,1.000077244653432,0.4294086200471391,0.637617890619396,0.7818181818181819,0.45777906304222094
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2405250491159605,0.9986305751862646,0.3941723383147355,0.598218787453374,0.7636363636363637,0.39094296359988534
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2405250491159605,0.9986305751862646,0.3941723383147355,0.598218787453374,0.7636363636363637,0.39094296359988534
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3571091135480478,1.1309032135484687,0.27495066802741,0.5660426994545248,0.6363636363636364,0.18608636052090477
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3571091135480478,1.1309032135484687,0.27495066802741,0.5660426994545248,0.6363636363636364,0.18608636052090477
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.221786705765264,0.9931955514331812,0.41233637011793023,0.6088365275011594,0.7909090909090909,0.42560175054704596
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.221786705765264,0.9931955514331812,0.41233637011793023,0.6088365275011594,0.7909090909090909,0.42560175054704596
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2852947906963545,1.018759857387488,0.34965543148772316,0.579787645302657,0.7727272727272727,0.4005847953216375
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2852947906963545,1.018759857387488,0.34965543148772316,0.579787645302657,0.7727272727272727,0.4005847953216375
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.4781707751158941,1.215823127582591,0.13982414859053416,0.5281241760258352,0.5727272727272728,0.16902961562696917
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,auto,1.4781707751158941,1.215823127582591,0.13982414859053416,0.5281241760258352,0.5727272727272728,0.16902961562696917
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.2519010610720531,1.0322454874255762,0.38301012404895496,0.6124664846764882,0.7636363636363637,0.4318181818181819
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.2519010610720531,1.0322454874255762,0.38301012404895496,0.6124664846764882,0.7636363636363637,0.4318181818181819
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.3186016604460524,1.0669080120528438,0.31551291316156493,0.5548622468585944,0.7818181818181819,0.4015356820234869
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.3186016604460524,1.0669080120528438,0.31551291316156493,0.5548622468585944,0.7818181818181819,0.4015356820234869
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4977977704369725,1.2293029766658297,0.11682984937453866,0.4558248383850725,0.5727272727272728,0.1790165038733581
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4977977704369725,1.2293029766658297,0.11682984937453866,0.4558248383850725,0.5727272727272728,0.1790165038733581
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.3134812484701475,1.10485767561222,0.32081861074958895,0.57785966296557,0.6727272727272727,0.28815489749430534
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.3134812484701475,1.10485767561222,0.32081861074958895,0.57785966296557,0.6727272727272727,0.28815489749430534
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3660867044935368,1.1289855195682066,0.2653262005873396,0.5329671938582308,0.7,0.3473895582329317
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3660867044935368,1.1289855195682066,0.2653262005873396,0.5329671938582308,0.7,0.3473895582329317
