dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc,qwk
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.2972293752837487,1.0471764778300383,0.3375218300885384,0.6051604463464743,0.7181818181818181,0.4652564405577878
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.2553866470233939,1.020543574616763,0.37956965234096407,0.6214099242736453,0.7272727272727273,0.4237942978950173
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.2505968142123323,1.0170110308892883,0.38429503058992,0.6340801814027793,0.7181818181818181,0.41539115646258506
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3885534088225828,1.1544323742339977,0.2409625557408558,0.6479496619951731,0.5909090909090909,0.26889029402466
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.479916516727306,1.2419826418232707,0.13779118794131906,0.6458740829241465,0.5727272727272728,0.24145640370488664
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4485722663633662,1.1659498839055518,0.17392713783143887,0.5432943528360724,0.6727272727272727,0.3635689569945625
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3827807587969294,1.134111904298602,0.24726054836419697,0.546509194197196,0.6909090909090909,0.3552128820960698
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.358614965681254,1.1225185813143994,0.27334074173040723,0.5516058939160502,0.6818181818181818,0.3550888074429095
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4407120862296579,1.2007678633027576,0.18286761724234224,0.555000618796663,0.6090909090909091,0.25867507886435326
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.51174022237589,1.2721328282043456,0.10031110588937509,0.549885469486066,0.5909090909090909,0.23305493093478968
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.520830304555014,1.168394317357267,0.08945893204841093,0.5386127689314233,0.7272727272727273,0.42852169877001633
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.402917982324484,1.0799381390085807,0.22517685228833473,0.5453791567029703,0.7363636363636363,0.45237509229633277
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3527578136389034,1.0531143936104685,0.2795926666264519,0.5491336486225609,0.7454545454545455,0.4235924932975871
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4092099997152336,1.1636744685261204,0.21821118031303233,0.5416523391709935,0.6181818181818182,0.2070740617734972
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4862876912822476,1.242005888807232,0.13035143397933813,0.5351811448673259,0.5909090909090909,0.14336856460961478
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,2.197223507418285,1.4529272074168353,-0.900581494429114,0.4977376984260046,0.6454545454545455,0.2951518934665003
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.5527262423941381,1.2176167307823254,0.05086539288733183,0.5608952633583786,0.6636363636363637,0.35779816513761475
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.4245990849801768,1.1508546427853377,0.2010431126233434,0.574709395175545,0.6909090909090909,0.37726723095525994
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.3070227489359365,1.067113532929916,0.32748137553825407,0.6049805628269853,0.7454545454545455,0.40379951495553756
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.2966602557203242,1.058505704565361,0.3381029864961991,0.607379009753505,0.7454545454545455,0.3718592964824122
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.4672567122310725,1.18226173098041,0.15247945923333095,0.5723616846263172,0.7181818181818181,0.3588992974238876
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.3730518267042056,1.1334325098546427,0.25781549460988296,0.5733026138051824,0.7181818181818181,0.3761313679855184
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.3370298639656262,1.1167796790953102,0.2962470337277173,0.5695019979062359,0.6909090909090909,0.33301078241636717
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,5.0,1.422383918057814,1.1920225477387902,0.2035258418392466,0.5507479879000259,0.6,0.25122749590834703
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,10.0,1.4999164777957805,1.264545610272861,0.11432950844625434,0.541596990395766,0.5818181818181818,0.21435659940456497
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.5544281725491562,1.2223324771992117,0.05741299129616517,0.5723271595375301,0.6972477064220184,0.48655039905409403
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.4139997895772365,1.1231590381711967,0.22002834233295154,0.5855503188061334,0.6972477064220184,0.44921135646687693
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.365403001229945,1.0826609914320287,0.2727196758643111,0.5968201106962264,0.7339449541284404,0.4651162790697675
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.3142277695927524,1.0557579198550846,0.32621488693817247,0.5948430374029288,0.7431192660550459,0.3946488294314381
"Lasso (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.3407934758171502,1.086436109759645,0.2986998881239965,0.5811836893022311,0.7155963302752294,0.34337827121332265
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.1,1.4961198474393058,1.1360283154517785,0.1268016614896429,0.6524815986178478,0.7064220183486238,0.4529785303900816
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,0.5,1.3818203800631117,1.0806483646869067,0.2551251355028573,0.6694455512399571,0.7522935779816514,0.47263361236316803
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,1.0,1.3272802109413826,1.0596127344453956,0.3127648397020363,0.6813222145486164,0.7706422018348624,0.48766041461006926
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,5.0,1.2719007071289836,1.0447073126947817,0.36891690084397555,0.6691658214454617,0.7614678899082569,0.42553191489361697
"Ridge (alpha=1.0, top-100) + SMOTE",Poisson Regression,10.0,1.3019127561652717,1.0749889863555877,0.33878317396063107,0.6545772014850845,0.7431192660550459,0.41726618705035967
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.2681057092100858,0.9961250390106237,0.372677235418421,0.6600485266180957,0.7798165137614679,0.5324675324675325
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.208814352953342,0.9561974453393081,0.42996785348623345,0.6741582870997606,0.8073394495412844,0.5276329509906152
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.193220895486551,0.9520727114125823,0.44457959323078977,0.6759362307088412,0.7981651376146789,0.47944707166242273
