dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,10.0,1.3440642364402193,1.147911656129566,0.29885954172121765,0.5106409838247614,0.6818181818181818,0.2697176241480038
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,20.0,1.3680776160862964,1.1072727272727272,0.273582242750834,0.5148318041068112,0.6818181818181818,0.3059815950920246
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,30.0,1.3783059430791382,1.1736363636363638,0.2626796253528356,0.46191511485054554,0.6454545454545455,0.24114671163575052
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,,1.3621507058525297,1.1018181818181818,0.27986271490890446,0.5027933962805133,0.7363636363636363,0.352076386783874
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,10.0,1.3096146246224445,1.093078222301171,0.33434069069789807,0.5681002457407093,0.7272727272727273,0.39850223072020396
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,20.0,1.3323936082377186,1.1209090909090909,0.31098280728765726,0.5599530335527105,0.7,0.3366368286445012
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,30.0,1.3468734839687737,1.1359090909090908,0.29592555170644075,0.5115506748245022,0.7181818181818181,0.40060336614798353
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,,1.3642013980880736,1.1154545454545453,0.27769277649473945,0.5031598755838149,0.6636363636363637,0.260819293029402
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,50,10.0,1.2966270228101306,1.0823411005570263,0.3474780664932736,0.5894638128006369,0.7363636363636363,0.3962950711214026
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,50,20.0,1.2901599618933797,1.0772727272727274,0.353970875032076,0.619304109203586,0.7090909090909091,0.39839572192513373
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,50,30.0,1.3231285239571744,1.1087272727272728,0.3205319476520401,0.550585859435865,0.7272727272727273,0.372049898853675
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,50,,1.2986426480262874,1.0861818181818181,0.34544778034385415,0.5767024503602822,0.7272727272727273,0.3622034449138771
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,100,10.0,1.2807075686458946,1.0761400609479657,0.363402498579637,0.606165414596099,0.7181818181818181,0.3785217103082532
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,100,20.0,1.3014083280675732,1.0976363636363637,0.34265685142417235,0.5749623050207526,0.7,0.34651474530831095
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,100,30.0,1.2992592295052383,1.0863636363636362,0.3448260841673081,0.5975243139502688,0.7272727272727273,0.42052980132450335
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,100,,1.2632943945386312,1.06,0.38059584295612015,0.6410990451576353,0.7272727272727273,0.3768693918245265
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,10,10.0,1.124309434582315,0.8666135475980395,0.5093896706838998,0.7157914736985858,0.8363636363636363,0.5870660694288914
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,10,20.0,1.1089716776447367,0.8636363636363636,0.5226841159866564,0.7103973256723409,0.8363636363636363,0.6206896551724138
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,10,30.0,1.2094702070816719,0.9718181818181817,0.43225237362073377,0.6344335953327682,0.8090909090909091,0.5277853818779086
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,10,,1.088827559600442,0.8772727272727271,0.5398672055427254,0.7304109227342328,0.8363636363636363,0.582493521451195
