dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc,qwk
PCA (n_components=50) + SMOTE,Gradient Boosting,200,3,0.05,1.0177840441682355,0.7498093000157267,0.5979535295478019,0.7848094592245909,0.8636363636363636,0.7135027404085701
PCA (n_components=50) + SMOTE,Gradient Boosting,200,3,0.1,1.0170817436359725,0.7794981916712492,0.5985081855858725,0.779198069281921,0.8727272727272727,0.7037037037037037
PCA (n_components=50) + SMOTE,Gradient Boosting,200,5,0.05,1.0376786229402646,0.7840072100150258,0.582082345825726,0.7670192748137563,0.8727272727272727,0.7109275730622617
PCA (n_components=50) + SMOTE,Gradient Boosting,200,5,0.1,1.045963966670268,0.7950295062794334,0.5753819766221298,0.7644144814576529,0.8818181818181818,0.7138631687242798
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.05,1.2790320890941538,1.0414955642005632,0.36506706031293557,0.6222361774370029,0.7,0.341249186727391
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.1,1.211920878604145,0.967275832842028,0.4299492618180851,0.6390010708459671,0.7545454545454545,0.4419642857142858
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.05,1.2205426863774658,0.9780280526319737,0.42180953822936873,0.6494525732659355,0.7090909090909091,0.37986381322957197
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.1,1.1664979196508674,0.9096999623824099,0.47187963503167185,0.6562231886206301,0.8090909090909091,0.5316584374092361
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.05,1.243170997898154,1.0035430670312686,0.40017202421148923,0.607692747865425,0.7272727272727273,0.4205809641532756
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.1,1.2561807331331862,1.0140322196801472,0.38755198181390005,0.6168649457470236,0.7363636363636363,0.4152276295133438
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.05,1.2082182082593744,0.9633101901777226,0.4334271879294693,0.6495541786805353,0.7545454545454545,0.4274809160305343
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.1,1.1776965987456487,0.9220744566932495,0.46169077905329303,0.656260136044121,0.7818181818181819,0.5024168325277225
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.05,1.1729626823518886,0.9075354885574471,0.4660096999069585,0.6629891855473883,0.8,0.5441531042796866
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.1,1.1646691659213084,0.8788723369626928,0.4735342372601098,0.6717503433426514,0.8363636363636363,0.5792616720955484
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.05,1.2280869231411304,0.9720367769489642,0.41463979860912203,0.6184028822498294,0.7454545454545455,0.4534291704103025
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.1,1.2587320025796642,1.0065876518121264,0.3850617244915844,0.6143617578055198,0.7545454545454545,0.4447871684145589
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.05,1.1860380131471182,0.9252433408403129,0.4540382781491351,0.6559322276606399,0.7909090909090909,0.49617534568990884
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.1,1.1892436355475924,0.9110062762569704,0.4510830401990473,0.6510874967554048,0.7818181818181819,0.5493677697067527
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.05,1.168898444380852,0.8772097547371865,0.46970377095716875,0.666078913836809,0.7909090909090909,0.5851618211738892
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.1,1.1687969794044548,0.8793329984320334,0.46979583055278973,0.6695473532170106,0.8454545454545455,0.5771670190274842
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.05,1.2277316131995781,0.9598239649681792,0.41497846227865576,0.6305724398621215,0.7727272727272727,0.4967911318553092
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.1,1.2535275266663968,1.003911183964601,0.3901363790308082,0.6176777890638219,0.7545454545454545,0.4447871684145589
