dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.340556193932544,1.1036363636363637,0.31337269885376895,0.5851247674150312,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.3499663295464412,1.069090909090909,0.30369920111149706,0.5827711717940486,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.3788252575685909,1.1568181818181817,0.27361062869051755,0.5147364019294743,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.3033248961858352,1.0598049759062338,0.3509825065927059,0.6039170329481021,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.3173637586966147,1.0825454545454547,0.3369253212921155,0.5757933886742947,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.299930068049117,1.0552727272727274,0.35435915248350136,0.5880409321990007,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.323987091395463,1.0819999999999999,0.3302410559221952,0.5700801570651853,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.2785583486695606,1.053311589257357,0.3754141729600914,0.6155300552275471,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.3285207084299713,1.0865454545454545,0.3256464050017367,0.5762433835542401,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.299166166151477,1.065818181818182,0.3551177492184786,0.6043717151277773,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.297952583529502,1.0675454545454546,0.3563219868009726,0.6048520940566489,0.7545454545454545
PCA (n_components=50),Random Forest,10,10.0,1.3094211308885484,1.0199378448918823,0.34489681562376184,0.5985181523132244,0.7454545454545455
PCA (n_components=50),Random Forest,10,20.0,1.2160666847743924,0.9845454545454544,0.4349774227162211,0.6622891609429432,0.7818181818181819
PCA (n_components=50),Random Forest,10,30.0,1.2742912468577117,1.0090909090909088,0.379576241750608,0.6079005411909006,0.7181818181818181
PCA (n_components=50),Random Forest,10,,1.3284988110303642,1.0636363636363635,0.3256686349426884,0.5735928430711901,0.7181818181818181
PCA (n_components=50),Random Forest,20,10.0,1.2205168162886,0.9560974503172328,0.4308345158987197,0.6699478234298297,0.7727272727272727
PCA (n_components=50),Random Forest,20,20.0,1.256862977995034,1.0059090909090909,0.3964310524487671,0.6481664031314953,0.7454545454545455
PCA (n_components=50),Random Forest,20,30.0,1.2658899133523704,1.0104545454545453,0.38773011462313334,0.609621122182824,0.7727272727272727
PCA (n_components=50),Random Forest,20,,1.2256538143893947,0.978181818181818,0.42603334491142764,0.6386433942631599,0.7454545454545455
PCA (n_components=50),Random Forest,50,10.0,1.2305425509225518,0.9737564357638194,0.42144547877940985,0.6507973915004723,0.7636363636363637
PCA (n_components=50),Random Forest,50,20.0,1.243590110782634,0.9814545454545454,0.4091114970475861,0.6536605036370685,0.7545454545454545
PCA (n_components=50),Random Forest,50,30.0,1.2567881140575619,0.9867272727272727,0.3965029524140329,0.6361659507178936,0.7636363636363637
PCA (n_components=50),Random Forest,50,,1.2275992831539124,0.9703636363636363,0.42420979506773204,0.6502000321472917,0.7727272727272727
PCA (n_components=50),Random Forest,100,10.0,1.2298970162287175,0.978531522051717,0.422052331510548,0.660175579757647,0.7727272727272727
