dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.7118945454545458,1.086,0.21200257329648087,0.22727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.7098645454545454,1.0753636363636365,0.23539492325855962,0.24545454545454545
PCA (n_components=50),Random Forest,10,10.0,1.9406435296679465,1.114697905261158,0.21596904465397615,0.2636363636363636
PCA (n_components=50),Random Forest,10,20.0,2.3473636363636365,1.25,0.20948293429111844,0.2545454545454545
PCA (n_components=50),Random Forest,10,30.0,2.2116363636363636,1.198181818181818,0.22905301580674714,0.2636363636363636
PCA (n_components=50),Random Forest,10,,2.136909090909091,1.18,0.21366322953713893,0.2545454545454545
PCA (n_components=50),Random Forest,20,10.0,2.097342930037722,1.2167789109232678,0.10828282828282827,0.15454545454545454
PCA (n_components=50),Random Forest,20,20.0,2.0385227272727273,1.1968181818181816,0.15054112554112556,0.20909090909090908
PCA (n_components=50),Random Forest,20,30.0,1.9669545454545456,1.1745454545454543,0.15331936530200752,0.20909090909090908
PCA (n_components=50),Random Forest,20,,2.029909090909091,1.1781818181818184,0.19815111121273096,0.23636363636363636
PCA (n_components=50),Random Forest,50,10.0,1.9628778646830054,1.167471816764719,0.15349495534891075,0.20909090909090908
PCA (n_components=50),Random Forest,50,20.0,1.9592145454545453,1.1658181818181819,0.14063945697504038,0.20909090909090908
PCA (n_components=50),Random Forest,50,30.0,1.9947781818181818,1.182181818181818,0.13228771228771227,0.18181818181818182
PCA (n_components=50),Random Forest,50,,1.972341818181818,1.1796363636363638,0.15646925018340538,0.20909090909090908
PCA (n_components=50),Random Forest,100,10.0,1.9069840412210142,1.1499012919014076,0.15307146164531563,0.22727272727272727
PCA (n_components=50),Random Forest,100,20.0,1.9773081845221994,1.1679068736141907,0.16265284423179158,0.21818181818181817
PCA (n_components=50),Random Forest,100,30.0,1.9690836363636361,1.1667272727272728,0.16289663021747544,0.21818181818181817
PCA (n_components=50),Random Forest,100,,1.9648072727272725,1.1574545454545457,0.15206979690719735,0.21818181818181817
