dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.7545745454545454,1.1029090909090906,0.21080567988887175,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.767119090909091,1.0888181818181817,0.2223447835947836,0.2636363636363636
PCA (n_components=50),Random Forest,10,10.0,2.019133306034904,1.1499937379828165,0.21374625374625375,0.2636363636363636
PCA (n_components=50),Random Forest,10,20.0,2.2177272727272728,1.251818181818182,0.1391890875619772,0.18181818181818182
PCA (n_components=50),Random Forest,10,30.0,2.0879090909090907,1.220909090909091,0.17558827114946587,0.20909090909090908
PCA (n_components=50),Random Forest,10,,2.1481818181818184,1.2127272727272729,0.20589363381458245,0.23636363636363636
PCA (n_components=50),Random Forest,20,10.0,1.8853907331207076,1.164243499912131,0.16032864537393557,0.21818181818181817
PCA (n_components=50),Random Forest,20,20.0,1.937318181818182,1.1563636363636365,0.19762388591800353,0.2545454545454545
PCA (n_components=50),Random Forest,20,30.0,2.018340909090909,1.1731818181818183,0.19693428167998558,0.24545454545454545
PCA (n_components=50),Random Forest,20,,2.212136363636364,1.268181818181818,0.1267099567099567,0.16363636363636364
PCA (n_components=50),Random Forest,50,10.0,1.8569812436715334,1.1431059291235757,0.14842310623530947,0.20909090909090908
PCA (n_components=50),Random Forest,50,20.0,1.9572690909090908,1.1663636363636365,0.13538023277373976,0.19090909090909092
PCA (n_components=50),Random Forest,50,30.0,1.8296763636363635,1.146,0.15510992275698157,0.21818181818181817
PCA (n_components=50),Random Forest,50,,1.8795127272727277,1.1472727272727277,0.1608108964206525,0.21818181818181817
PCA (n_components=50),Random Forest,100,10.0,1.90801186578572,1.1578970047396155,0.15239438722197343,0.21818181818181817
PCA (n_components=50),Random Forest,100,20.0,1.9317972727272725,1.1702727272727271,0.13636363636363635,0.2
PCA (n_components=50),Random Forest,100,30.0,1.8736036363636364,1.148,0.14323960669311714,0.20909090909090908
PCA (n_components=50),Random Forest,100,,1.8101481818181817,1.1295454545454546,0.15903866248693835,0.22727272727272727
