dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.05,1.3134863873025404,1.0420582812998025,0.33039894391481095,0.5975922459686195,0.7909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.1,1.328550408980527,1.0419040823317174,0.31495192169142505,0.5927013307840208,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.05,1.3226685649983754,1.0475877546908874,0.3210042722831079,0.594936649905216,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.1,1.3684716023613663,1.086985284519395,0.2731637871991027,0.562935562734221,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.05,1.3391004229880619,1.0390714853072356,0.3040287943146538,0.5715212202679025,0.7727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.1,1.342515647060335,1.0595369221202593,0.3004742758056792,0.5748464883820773,0.8
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.05,1.2995628492531897,1.0250397435081,0.3445198373805257,0.6086210518806321,0.8181818181818182
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.1,1.324558741016753,1.0333302352440163,0.31906223098899755,0.5934310423979646,0.8
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.05,1.3154095033288462,1.107808107714126,0.32843674129077216,0.6135687712662262,0.6818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.1,1.2584438693593754,1.0493799975790072,0.38534322026009826,0.6288774768094797,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.05,1.220400585049252,1.020771951616573,0.4219441617057501,0.6858088379809121,0.7363636363636363
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.1,1.1864008441053313,0.9749364409398669,0.45370418748346497,0.6755605463901433,0.7636363636363637
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.05,1.2384563868377603,1.0256297245315975,0.40471298154346913,0.6304015580284763,0.7727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.1,1.2107886174591134,0.984603991121694,0.4310139266859292,0.6555258060022408,0.8
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.05,1.2612034742873326,1.0553015323793487,0.3826445386512477,0.626337341444485,0.7272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.1,1.2427473455639626,1.0282822541453038,0.40058077766981237,0.6328354695509348,0.7454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.05,1.1787681033512587,0.9708276431760715,0.4607107928570786,0.691655767748336,0.7727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.1,1.1784134564089777,0.9481287118704954,0.4610352476785471,0.6866632471491376,0.7818181818181819
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.05,1.2421407351790446,1.0080815406989645,0.4011658124040044,0.6245546282610525,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.1,1.208021487564039,0.9777655385589773,0.4336116703734012,0.6565926628555384,0.8090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.05,1.2333218287955876,1.0287019899148633,0.4096387902892392,0.6321565606442908,0.7454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.1,1.2337375164850486,1.002707241706355,0.40924076401877674,0.6402295726770372,0.7636363636363637
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.05,1.170871364862597,0.9417373897081659,0.46791214357300714,0.6885290920354245,0.7909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.1,1.179461335838546,0.9407770841606756,0.46007629531914374,0.6870789056634095,0.8181818181818182
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.05,1.243327046027931,1.0015283002156676,0.4000214288249633,0.6257415642406955,0.7727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.1,1.2062119795110045,0.9765030084562436,0.435307197583338,0.6594237591805232,0.8090909090909091
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,2,0.05,1.1627138845304699,0.9604298475995716,0.4753004463341285,0.7036452066711103,0.8454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,2,0.1,1.1366389553006842,0.9156495011085837,0.49857030446641437,0.7075847257008201,0.8636363636363636
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,3,0.05,1.1299847206720697,0.9319652586617921,0.5044241668487537,0.7127019438543,0.8636363636363636
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,3,0.1,1.1308174920688332,0.8945363062995938,0.5036934428899464,0.7168723842808274,0.8454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,5,0.05,1.1016723319675636,0.8859567465862265,0.5289469041257223,0.7276425582284044,0.8545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,5,0.1,1.0984245174732072,0.8549997321932628,0.5317202114096227,0.720834995450219,0.8818181818181818
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,2,0.05,1.1232866216920425,0.8946057226134048,0.5102819060458335,0.7171725820966904,0.8545454545454545
