dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.7802650335374308,1.3600063572790844,-0.2109336396664232,0.339099262059918,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.696948435774179,1.3355114077841348,-0.1002422344717182,0.3923261981205708,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.7264297357909948,1.3468969666696937,-0.1388036109363322,0.3440360998517866,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.7658374268832955,1.3363636363636364,-0.19138589788120886,0.3363296481811237,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.7166556339745505,1.3295454545454546,-0.1259455443633979,0.360772263037877,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.7047613240847237,1.3275216450216447,-0.11039676599673864,0.36179047771750017,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.7503246452119572,1.3181818181818181,-0.17054532823897195,0.33807566224122254,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.7967422820991408,1.3606060606060606,-0.23345297364053885,0.27979037950523933,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.7667155325929529,1.3612337662337661,-0.19257108385401933,0.28591632108317405,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.7451230745865878,1.3181818181818181,-0.16359847169155972,0.353436480511888,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,5,1.75843924713326,1.3431818181818183,-0.18142391262398228,0.33888938213347486,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,10,1.7117912049798572,1.3194408369408368,-0.1195734777322095,0.3461493278092852,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.5312938087593015,1.1349233638796528,0.10408238915629542,0.5485999944542368,0.7090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.487014370759603,1.0644688184251074,0.15514660898571153,0.5524143317605383,0.7181818181818181
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.566679124246398,1.1692235081797973,0.06219804578520072,0.4949212615366125,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.589739830057965,1.1818181818181819,0.03438693990969077,0.4602072112023241,0.6363636363636364
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.525850483163307,1.1143939393939393,0.11044054648604829,0.5318481286055785,0.6909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.5212712656948344,1.1301984126984128,0.11577183389661672,0.5129405094060353,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.6011359603844901,1.2,0.020493226814866206,0.46987871423071004,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.6047986751860148,1.1621212121212123,0.016006715294662355,0.4736072060948848,0.6909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.5750585915311197,1.14518759018759,0.05213945000639297,0.49713365271042825,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.5925965077079745,1.1545454545454545,0.03091351163598466,0.47469462746168883,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,,5,1.5999723798121066,1.1886363636363637,0.021916367565898542,0.4906984953840344,0.6545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,,10,1.5723252325609063,1.1731637806637805,0.05542643256600244,0.5065796514842376,0.6636363636363637
PCA (n_components=50) + SMOTE,Decision Tree,10.0,2,1.6825695612469076,1.2632249122061034,-0.08167570728658302,0.3952492379924061,0.6636363636363637
