dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.235387315048126,0.9954545454545454,0.41688086141021186,0.6485755572219954,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.1899961802841679,0.950909090909091,0.4589440778047932,0.6799336575330721,0.8
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.2644528101478953,1.0195454545454545,0.38911948593261536,0.6179025653686724,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.2133373254564188,0.9785047477382903,0.43751086770395653,0.6587739233022974,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.2078034156720583,0.9830909090909092,0.4426300798888503,0.6716568079806718,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.18000924495608,0.9450909090909092,0.4679874956582146,0.6781308752089574,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.1780168234637554,0.9516363636363637,0.46978256339006585,0.6815930827623394,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.1971201958143638,0.972790102441462,0.452446530201708,0.689974611569899,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.1914624321701155,0.9686363636363637,0.4576099340048627,0.6728576480530809,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.1888474173829802,0.9543636363636364,0.4599881903438694,0.6809498504766561,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.2081981324570599,0.9811818181818183,0.4422657172629386,0.672224561666206,0.8
PCA (n_components=50),Random Forest,10,10.0,1.2327964440427297,0.9471287878446225,0.4193241473814383,0.6461925179275997,0.7909090909090909
PCA (n_components=50),Random Forest,10,20.0,1.242138917717777,0.9618181818181818,0.41048975338659277,0.6264814407988584,0.7818181818181819
PCA (n_components=50),Random Forest,10,30.0,1.250236341293481,0.9581818181818181,0.40277874261896485,0.6161469176715982,0.8
PCA (n_components=50),Random Forest,10,,1.2421023234090587,1.0009090909090907,0.4105244876693296,0.6193126606687028,0.8
PCA (n_components=50),Random Forest,20,10.0,1.1525838947213036,0.9265026195576342,0.49242980277595616,0.6973595054066246,0.8363636363636363
PCA (n_components=50),Random Forest,20,20.0,1.190979352542192,0.9404545454545454,0.45804967002431385,0.6695567224981398,0.7636363636363637
PCA (n_components=50),Random Forest,20,30.0,1.198000227652126,0.9622727272727272,0.4516411948593261,0.659301817759515,0.7545454545454545
PCA (n_components=50),Random Forest,20,,1.1857391250723208,0.9413636363636362,0.4628082667592913,0.6605648485762479,0.8181818181818182
PCA (n_components=50),Random Forest,50,10.0,1.1858974131752416,0.9209667915178801,0.462664834305904,0.6713695965528558,0.8
PCA (n_components=50),Random Forest,50,20.0,1.173194551021038,0.9483636363636365,0.4741146231330322,0.6736382523656783,0.7545454545454545
PCA (n_components=50),Random Forest,50,30.0,1.1615084236379078,0.9110909090909091,0.48453907606807933,0.6976260153340785,0.8
PCA (n_components=50),Random Forest,50,,1.178168069504517,0.9130909090909091,0.4696464050017367,0.692489425356902,0.8
PCA (n_components=50),Random Forest,100,10.0,1.187383614094788,0.9434917820667381,0.46131718245123976,0.6891769583897165,0.7909090909090909
PCA (n_components=50),Random Forest,100,20.0,1.1837836104472963,0.9345454545454543,0.46457867315039947,0.6863085506561816,0.8090909090909091
PCA (n_components=50),Random Forest,100,30.0,1.191117122704564,0.9590909090909089,0.4579242792636333,0.6732555923723752,0.8
PCA (n_components=50),Random Forest,100,,1.1660839670374592,0.9435454545454546,0.48046995484543253,0.7011827205692198,0.8090909090909091
"Lasso→PCA (top-100, 95%var)",Random Forest,10,10.0,1.4524190103974495,1.1395666990384021,0.1940003195761385,0.44503134556270585,0.7
"Lasso→PCA (top-100, 95%var)",Random Forest,10,20.0,1.4453687796167833,1.1199999999999999,0.20180618270232709,0.4354931550449242,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,10,30.0,1.4294945069690004,1.12,0.21924279263633184,0.44657707656682627,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,10,,1.4332734307426227,1.1227272727272726,0.21510941299062147,0.4524663239664301,0.7272727272727273
"Lasso→PCA (top-100, 95%var)",Random Forest,20,10.0,1.4066567342019922,1.1208500808077861,0.2439904533993068,0.49926173011389124,0.6909090909090909
"Lasso→PCA (top-100, 95%var)",Random Forest,20,20.0,1.364367985552285,1.0636363636363637,0.2887634595345606,0.5330082813680433,0.7454545454545455
"Lasso→PCA (top-100, 95%var)",Random Forest,20,30.0,1.4106897088110675,1.0954545454545452,0.23964918374435573,0.46321211047773964,0.7
"Lasso→PCA (top-100, 95%var)",Random Forest,20,,1.4097710968290367,1.1072727272727272,0.240639110802362,0.47023517843135515,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Random Forest,50,10.0,1.3979770634125273,1.0953280906169058,0.2532914703680915,0.4768444482523457,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Random Forest,50,20.0,1.3775485472388984,1.079818181818182,0.27495519277526925,0.4934696823053137,0.7272727272727273
"Lasso→PCA (top-100, 95%var)",Random Forest,50,30.0,1.3824155407375627,1.0885454545454545,0.2698228551580407,0.5128081818078717,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Random Forest,50,,1.3838247392971803,1.0976363636363635,0.2683334491142758,0.4962886335987486,0.7363636363636363
"Lasso→PCA (top-100, 95%var)",Random Forest,100,10.0,1.3832971796395974,1.0905749411892374,0.26889121364406,0.49774941656996136,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,100,20.0,1.3565155018335213,1.074952222959522,0.29692680188047393,0.5267858625309981,0.7545454545454545
"Lasso→PCA (top-100, 95%var)",Random Forest,100,30.0,1.3715064710018687,1.076818181818182,0.2813014935741577,0.5167942818134541,0.7363636363636363
"Lasso→PCA (top-100, 95%var)",Random Forest,100,,1.3574293887545479,1.0647272727272727,0.2959791594303577,0.5259410874230735,0.7090909090909091
"Ridge→PCA (top-100, 95%var)",Random Forest,10,10.0,1.381575075130967,1.1694399278598635,0.27071043520477556,0.43161114432777964,0.6909090909090909
"Ridge→PCA (top-100, 95%var)",Random Forest,10,20.0,1.3492085221950076,1.1036363636363635,0.3044807224730809,0.45937124077680014,0.7272727272727273
"Ridge→PCA (top-100, 95%var)",Random Forest,10,30.0,1.314464979304577,1.0836363636363635,0.33984022229940947,0.5539040810501734,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",Random Forest,10,,1.274505251603004,1.0672727272727274,0.37936783605418545,0.5898187398309741,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",Random Forest,20,10.0,1.261095257941771,1.0767818968421317,0.39235936972436813,0.5801520618660416,0.7727272727272727
"Ridge→PCA (top-100, 95%var)",Random Forest,20,20.0,1.3248927915461346,1.1049999999999998,0.3293244182007641,0.557582150791517,0.7545454545454545
"Ridge→PCA (top-100, 95%var)",Random Forest,20,30.0,1.260979056851533,1.0177272727272728,0.3924713442167418,0.5928349641588685,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",Random Forest,20,,1.2879423335481501,1.054090909090909,0.3662122264675234,0.5627999818126751,0.7454545454545455
"Ridge→PCA (top-100, 95%var)",Random Forest,50,10.0,1.2310096595790143,1.0172655550706688,0.4210061618011375,0.6227596516814556,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",Random Forest,50,20.0,1.2542103636805257,1.044909090909091,0.3989760333449113,0.6057115061239762,0.7545454545454545
"Ridge→PCA (top-100, 95%var)",Random Forest,50,30.0,1.2656855849696638,1.0565454545454545,0.38792775269190694,0.605770438813641,0.7545454545454545
"Ridge→PCA (top-100, 95%var)",Random Forest,50,,1.2509748925610704,1.0312727272727273,0.4020729419937479,0.6221972110954789,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",Random Forest,100,10.0,1.2600834875039995,1.0554936800597179,0.39333399269598246,0.5931127733660015,0.7454545454545455
"Ridge→PCA (top-100, 95%var)",Random Forest,100,20.0,1.232362476192485,1.0280909090909092,0.4197328933657518,0.6426461672517693,0.7545454545454545
"Ridge→PCA (top-100, 95%var)",Random Forest,100,30.0,1.2597669337114414,1.0590909090909089,0.3936387634595345,0.6091002134864414,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",Random Forest,100,,1.261256228023185,1.042,0.392204237582494,0.598041664015412,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Random Forest,10,10.0,1.3663062807254185,1.1614224937021431,0.2867411816517199,0.4689403493240324,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,10,20.0,1.4123159574388318,1.1590909090909092,0.2378951024661341,0.49082794912562144,0.7
"Lasso (alpha=1.0, top-100)",Random Forest,10,30.0,1.4000649335590898,1.1636363636363636,0.25105939562348034,0.4774318934537523,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,10,,1.3968145578747773,1.1672727272727272,0.25453282389718657,0.4657604721183419,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,20,10.0,1.3570253323406696,1.1356591081269884,0.29639821886914375,0.49782543229458215,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Random Forest,20,20.0,1.3539000903114877,1.1190909090909091,0.2996352900312609,0.49120099575520043,0.7272727272727273
"Lasso (alpha=1.0, top-100)",Random Forest,20,30.0,1.406728958839038,1.1949999999999998,0.24391281695033007,0.45458268662249396,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,20,,1.3144995591133117,1.0872727272727272,0.33980548801667243,0.5500036608504147,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Random Forest,50,10.0,1.3198728682966057,1.1007712688992262,0.3343970728336021,0.5401541350563116,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Random Forest,50,20.0,1.358176585118311,1.1358181818181818,0.29520389023966653,0.5106604943300727,0.7
"Lasso (alpha=1.0, top-100)",Random Forest,50,30.0,1.3048914967083731,1.0901818181818181,0.3494213268496006,0.5564526961984063,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Random Forest,50,,1.3625617584001635,1.1487272727272728,0.2906453629732547,0.5014278264582765,0.6636363636363637
"Lasso (alpha=1.0, top-100)",Random Forest,100,10.0,1.3233733765583475,1.102472285854811,0.3308618259250484,0.5469964317001893,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Random Forest,100,20.0,1.3241796774538637,1.1062727272727273,0.3300461965960403,0.5508421311964159,0.7
"Lasso (alpha=1.0, top-100)",Random Forest,100,30.0,1.3161814602719628,1.106818181818182,0.3381149704758596,0.5446984177001788,0.7
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.338119779935468,1.1271818181818183,0.3158662730114624,0.5258594074627225,0.6909090909090909
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.4495409556247614,1.1753749783027696,0.19719142749673468,0.4183344061478568,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.3415391431960801,1.108181818181818,0.312365404654394,0.4966947573013293,0.7
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.3457002232700606,1.0963636363636364,0.3080930878777355,0.5330609121792037,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.3784378510077662,1.1154545454545453,0.27401875651267826,0.4439537880576942,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.326477067788052,1.0786848470842196,0.3277195024298899,0.5285053257169967,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.2927331862797873,1.0686363636363636,0.36148836401528306,0.5193927975626307,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.2874304923867823,1.032272727272727,0.3667158735672109,0.5704852629838355,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.3406579117596094,1.1109090909090908,0.3132684960055576,0.5200743948301733,0.7454545454545455
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.2676586161030536,1.0343271856881127,0.3860179910808129,0.5804728179248012,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.2682443125690082,1.0378181818181818,0.38545050364709976,0.5868457255927939,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.2873256280861005,1.0440000000000003,0.36681903438693975,0.5566021166172052,0.7636363636363637
