dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.7837651700316897,1.3272727272727276,-0.2156998957971521,0.40235044783316,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.7205264763871757,1.2602576515288995,-0.1310290001890233,0.4186023628151783,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.7434847233363027,1.323104129012409,-0.1614146851537932,0.4105525034312344,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.7863115884159435,1.3363636363636366,-0.2191733240708582,0.40007692089353597,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.705742829458073,1.2356426318266305,-0.11167574167155125,0.4324174846529109,0.6909090909090909
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.7152553423724286,1.3051442026805031,-0.12410940551958083,0.4151183798678164,0.6272727272727273
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.7425164665975577,1.2909090909090912,-0.1601250434178536,0.4091939026960981,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.710253946460866,1.298070287457564,-0.11756353508977524,0.4149924522594894,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.744557036342186,1.314052603074877,-0.16284375767840742,0.3973763540730565,0.6636363636363637
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.8822859064346829,1.4439890818342984,-0.3536992903504341,0.28883748716940283,0.5727272727272728
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,5,1.7255988350928326,1.2656113850182253,-0.13770770185519798,0.3768796622329464,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,10,1.8643829097948066,1.4173756990697681,-0.32807085716166906,0.2855800817077647,0.5818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,2,1.8635254955935734,1.3818181818181823,-0.3268496005557491,0.3138456128442981,0.5636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,5,1.79854547781853,1.352561316732049,-0.23592998241043173,0.3426096426191102,0.5727272727272728
"Ridge (alpha=1.0, top-100)",Decision Tree,20.0,10,1.8009751519095292,1.3387513192697535,-0.23927149967874528,0.32901762090264314,0.5909090909090909
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,2,1.925900025725871,1.436363636363637,-0.4171587356721089,0.32101893548994215,0.5636363636363636
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,1.8881669976430722,1.4444319461026784,-0.36217161239572726,0.2729865481543493,0.5363636363636364
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,1.8513886643590267,1.4082814524668568,-0.3096227805379683,0.305050873802524,0.5727272727272728
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,1.8708286933869709,1.3909090909090913,-0.3372698853768674,0.3101965057094346,0.5818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,1.8546303532958865,1.3989084753662362,-0.314212963564803,0.32510640445746364,0.5818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,1.8930295548291483,1.4098758291785933,-0.3691965908309509,0.2879864241661362,0.5727272727272728
PCA (n_components=50),Decision Tree,10.0,2,1.6718609954971775,1.2700781122502713,-0.06795106185873401,0.41996990597503103,0.6181818181818182
PCA (n_components=50),Decision Tree,10.0,5,1.7994971664371515,1.3215495494236338,-0.23723829705344612,0.362047216370622,0.6181818181818182
PCA (n_components=50),Decision Tree,10.0,10,1.7223060339857015,1.319842009032718,-0.13336987918510324,0.40127315325770607,0.6090909090909091
PCA (n_components=50),Decision Tree,20.0,2,1.6514456476895412,1.181818181818182,-0.04202848211184462,0.4306366358827575,0.6545454545454545
PCA (n_components=50),Decision Tree,20.0,5,1.7551375658347461,1.2509091281903448,-0.17699154654558868,0.37739959733597017,0.6454545454545455
PCA (n_components=50),Decision Tree,20.0,10,1.723687213383265,1.3000597178118574,-0.13518838851652037,0.4044733564393284,0.6181818181818182
PCA (n_components=50),Decision Tree,30.0,2,1.8463723646899912,1.3000000000000003,-0.30253560263980583,0.3526839930451177,0.6454545454545455
PCA (n_components=50),Decision Tree,30.0,5,1.899325161481046,1.3710404254644992,-0.37831874815508915,0.3382061584561827,0.6090909090909091
PCA (n_components=50),Decision Tree,30.0,10,1.8103615540354452,1.3672158956800042,-0.2522229426754412,0.34855783992505734,0.6
PCA (n_components=50),Decision Tree,,2,1.793929156399945,1.2909090909090912,-0.22959360889197677,0.33228265995334294,0.6181818181818182
PCA (n_components=50),Decision Tree,,5,1.7579887148162376,1.2733699595335544,-0.1808186014461175,0.387093004242121,0.6363636363636364
PCA (n_components=50),Decision Tree,,10,1.7898018017525925,1.3393583435422522,-0.2239421807962867,0.3598063661068333,0.6272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,2,1.7544151417586724,1.2370497408286807,-0.17602283382956352,0.3324059231662306,0.6727272727272727
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,5,1.794650282162812,1.3099936407129287,-0.23058235456539355,0.2971181201073372,0.6272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,10,1.6697765303043521,1.251513629655734,-0.06528969339033197,0.3817736670337629,0.6636363636363637
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,2,1.760681686165901,1.2636363636363637,-0.18443904133379663,0.36329069723550655,0.6272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,5,1.692303460790459,1.222701257531352,-0.09422719824373105,0.42623006652017187,0.6272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,10,1.664640124349677,1.2493771774234235,-0.05874589022382737,0.3963559922034267,0.6454545454545455
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,2,1.7709781580707415,1.2636363636363637,-0.19833275442862108,0.32388359215533447,0.6363636363636364
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,5,1.7812925326404025,1.2931707668356072,-0.2123318497827389,0.33987591808311507,0.5909090909090909
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,10,1.6646401243496771,1.2493771774234235,-0.05874589022382759,0.3963559922034267,0.6454545454545455
"Lasso→PCA (top-100, 95%var)",Decision Tree,,2,1.689540012709215,1.2,-0.09065647794373044,0.3864237714605266,0.6454545454545455
"Lasso→PCA (top-100, 95%var)",Decision Tree,,5,1.7163741568019932,1.211658614006796,-0.12557633579420968,0.4139483586186156,0.6181818181818182
"Lasso→PCA (top-100, 95%var)",Decision Tree,,10,1.7406410346401635,1.3039561889668554,-0.1576291533937122,0.33667954693928726,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,2,1.8140134947710407,1.336935429211354,-0.2572801164059011,0.3610393278922689,0.6090909090909091
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,5,1.7714635524274451,1.2853977952559905,-0.19898972884221977,0.3620975908416783,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,10,1.6988357315499982,1.2706333050535124,-0.10269090902053479,0.3934133672856367,0.6454545454545455
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,2,1.8708286933869709,1.3545454545454552,-0.3372698853768674,0.3602198369785164,0.6
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,5,1.785097903928018,1.2954141509296166,-0.21751718626919891,0.4170915678688059,0.6090909090909091
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,10,1.7345188825391475,1.2871096752835238,-0.1495002880421461,0.3935276064713139,0.6454545454545455
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,2,1.8537431419599744,1.345454545454546,-0.3129558874609244,0.3357475462140039,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,5,1.8151837772423367,1.3399767391174817,-0.2589028689406505,0.3656426428360534,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,10,1.7436328772860694,1.2899133524241257,-0.16161207774511532,0.383155057880861,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,,2,1.7188791273808217,1.2636363636363641,-0.12886418895449858,0.4043204962085625,0.6181818181818182
"Ridge→PCA (top-100, 95%var)",Decision Tree,,5,1.759662910228997,1.270968474654672,-0.18306874379963234,0.41315282570085254,0.6181818181818182
"Ridge→PCA (top-100, 95%var)",Decision Tree,,10,1.7392392588182137,1.2726468653661687,-0.15576537664327295,0.3933844842567767,0.6363636363636364
