dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,execution_time_seconds,alpha,prediction_std,max_depth,min_samples_split,n_estimators
PCA,80,Random Forest,2.090908246973237,1.2124231134307255,0.15488243326192894,0.21818181818181817,0.5791730880737305,,,10,,50.0
PCA,80,Random Forest,2.0146800000000007,1.1827272727272726,0.1911984359726295,0.2545454545454545,0.5941751003265381,,,20,,50.0
PCA,80,Random Forest,2.0504109090909095,1.213272727272727,0.12262898260450279,0.19090909090909092,0.596973180770874,,,30,,50.0
PCA,80,Random Forest,2.02128,1.2000000000000002,0.14330022918258215,0.21818181818181817,0.5931093692779541,,,None,,50.0
PCA,80,Random Forest,1.9116911958992937,1.153963686462771,0.1903493467369065,0.2545454545454545,1.165781021118164,,,10,,100.0
PCA,80,Random Forest,1.9968590909090913,1.183909090909091,0.159717868338558,0.21818181818181817,1.18306303024292,,,20,,100.0
PCA,80,Random Forest,1.9784554545454545,1.1828181818181818,0.1514879032862864,0.21818181818181817,1.1942508220672607,,,30,,100.0
PCA,80,Random Forest,1.9733027272727275,1.1715454545454547,0.16583072100313478,0.22727272727272727,1.1793177127838135,,,None,,100.0
Lasso,525,Linear Regression,3.768446243558909,1.573882498151557,0.19835410041394994,0.20909090909090908,0.038941144943237305,,,,,
Lasso,525,Poisson Regression,1.5502301592472978,1.0078806403621905,0.26504119906605406,0.2727272727272727,0.010488033294677734,10.0,0.881475400681325,,,
Lasso,525,Decision Tree,2.997792861952862,1.2084444444444444,0.352878466361225,0.34545454545454546,0.12612438201904297,,,10,2.0,
Lasso,525,Decision Tree,2.9397120538720536,1.2069292929292927,0.34715934254364733,0.33636363636363636,0.11940860748291016,,,10,5.0,
Lasso,525,Decision Tree,2.977719154355345,1.2774415584415586,0.3027537869902402,0.2909090909090909,0.11542129516601562,,,10,10.0,
Lasso,525,Decision Tree,3.418181818181818,1.3454545454545455,0.2977268126610232,0.2909090909090909,0.13576364517211914,,,20,2.0,
Lasso,525,Decision Tree,3.411426767676768,1.378030303030303,0.27505325592282115,0.2636363636363636,0.1325981616973877,,,20,5.0,
Lasso,525,Decision Tree,3.0292989432304904,1.2577308802308802,0.34363916886189516,0.33636363636363636,0.12939023971557617,,,20,10.0,
Lasso,525,Decision Tree,3.081818181818182,1.3,0.2660459776796094,0.2636363636363636,0.13339948654174805,,,30,2.0,
