dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Random Forest,100,,1.325622666728905,1.0746363636363636,0.32858527266411974,0.5391083792936314,0.7363636363636363
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.371292548118061,1.0993791168089913,0.2815256763541033,0.5482381386900061,0.7272727272727273
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.2501999840025593,1.0281818181818183,0.4028134769017021,0.6098989101539678,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.4278719066562595,1.1809090909090907,0.22101424105592227,0.4722946620967568,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.352136356760193,1.1172727272727272,0.3014588398749566,0.523374496662251,0.6818181818181818
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.353039091957612,1.0872373580375392,0.30052578575823996,0.5417879599383734,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.3140413027962803,1.0722727272727273,0.34026571726293864,0.5922313235554931,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.3369996940232192,1.0895454545454546,0.31701111497047607,0.5534483240520368,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.3694142742594202,1.117727272727273,0.28349253212921155,0.5158286465977309,0.7090909090909091
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.3094255520768443,1.0649567351219813,0.3448923917766854,0.6020252797087344,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.3043800338579523,1.066,0.3499312261201807,0.5932465840616951,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.3077392011337041,1.0567272727272725,0.34657867315039936,0.5979931129534444,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.298222561112623,1.057090909090909,0.35605418548106993,0.6004702851933987,0.7636363636363637
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.3017146083324245,1.0710396445777517,0.3525852679053002,0.5992357989341078,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.3117999431731542,1.0666363636363636,0.342514414727336,0.6061834627844689,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,100,30.0,1.3201160417313182,1.0706363636363636,0.33415178881556107,0.5805503336575519,0.7272727272727273
