dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,5,1.6244464329280905,1.226361418156931,-0.0082350937124267,0.41469415617467614,0.6818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,30.0,10,1.534959362745226,1.1930062991085322,0.09978802715972457,0.46719883057674494,0.6545454545454545
"Ridge (alpha=1.0, top-100)",Decision Tree,,2,1.572490786213793,1.1818181818181823,0.0552275095519279,0.4556022452771345,0.6818181818181818
"Ridge (alpha=1.0, top-100)",Decision Tree,,5,1.608037427000357,1.233011976900513,0.01203098183490059,0.41384459841147486,0.6363636363636364
"Ridge (alpha=1.0, top-100)",Decision Tree,,10,1.5936642669307717,1.2409953319900395,0.02961362443167992,0.43935632411764375,0.6454545454545455
PCA (n_components=50),Decision Tree,10.0,2,1.5551212806531822,1.1343938944667336,0.07598387728571299,0.4969027783330221,0.7454545454545455
PCA (n_components=50),Decision Tree,10.0,5,1.4915847414105565,1.0949736837403612,0.14994527791258194,0.5234892881309597,0.7545454545454545
PCA (n_components=50),Decision Tree,10.0,10,1.511215712892585,1.1111065141045922,0.1274226384220951,0.5208698214615447,0.7454545454545455
PCA (n_components=50),Decision Tree,20.0,2,1.6264853351489357,1.1363636363636367,-0.010767627648488931,0.43986200776382334,0.6727272727272727
PCA (n_components=50),Decision Tree,20.0,5,1.583181267069274,1.1374563882843733,0.04233788925356774,0.47944024557619586,0.7181818181818181
PCA (n_components=50),Decision Tree,20.0,10,1.5645355614585066,1.1230718345326944,0.06476253026220469,0.5037283560476348,0.7
PCA (n_components=50),Decision Tree,30.0,2,1.5579707080920127,1.063636363636364,0.07259465092045858,0.48609783025569786,0.7090909090909091
PCA (n_components=50),Decision Tree,30.0,5,1.5578357664454663,1.097648817806071,0.07275529602695152,0.5033224197611009,0.7181818181818181
PCA (n_components=50),Decision Tree,30.0,10,1.5370276885022132,1.082027210030794,0.09736035889381667,0.5220164791970082,0.7
PCA (n_components=50),Decision Tree,,2,1.5579707080920127,1.1000000000000003,0.07259465092045858,0.4842565630484481,0.7272727272727273
PCA (n_components=50),Decision Tree,,5,1.4655928828257798,1.0392258312213736,0.17931269607206057,0.5375608270329658,0.7272727272727273
PCA (n_components=50),Decision Tree,,10,1.5631889018727765,1.1228574825207218,0.06637183145813197,0.5086225102523512,0.6909090909090909
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,2,1.7365198153104524,1.3463082778606519,-0.15215393395707966,0.3557180835999693,0.5727272727272728
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,5,1.7283767954811544,1.3288105888623618,-0.14137373458613212,0.3473580649825065,0.5818181818181818
"Lasso→PCA (top-100, 95%var)",Decision Tree,10.0,10,1.673706496372377,1.292494403585729,-0.07031010059013765,0.37296222148317576,0.6181818181818182
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,2,1.7709781580707415,1.2818181818181817,-0.19833275442862086,0.35321871757350737,0.5818181818181818
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,5,1.760311835131077,1.3200520451834938,-0.1839414840544611,0.36102299680757866,0.6181818181818182
"Lasso→PCA (top-100, 95%var)",Decision Tree,20.0,10,1.690493863018309,1.2895116496430097,-0.09188831225870842,0.3976578399781076,0.6272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,2,1.7632614409357759,1.3272727272727274,-0.18791246960750252,0.36433424415750665,0.5818181818181818
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,5,1.7459711945539944,1.3049168087376015,-0.16472975110577703,0.39395800808655806,0.6
"Lasso→PCA (top-100, 95%var)",Decision Tree,30.0,10,1.6819477839320518,1.2790193286353877,-0.08087640939956042,0.40861214411932895,0.6272727272727273
"Lasso→PCA (top-100, 95%var)",Decision Tree,,2,1.8040358795061295,1.3454545454545455,-0.2434873219868008,0.33361225516627124,0.5909090909090909
"Lasso→PCA (top-100, 95%var)",Decision Tree,,5,1.771727722283227,1.3188528904947479,-0.19934735467092835,0.361336946552682,0.5909090909090909
"Lasso→PCA (top-100, 95%var)",Decision Tree,,10,1.6775223600140021,1.278687555521412,-0.07519603861814583,0.418142471733049,0.6454545454545455
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,2,1.7460395994908446,1.2914661632436941,-0.1648210181622658,0.38571199709617127,0.6090909090909091
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,5,1.7337022574035361,1.3040769044769065,-0.14841815528264246,0.3858664058985469,0.6
"Ridge→PCA (top-100, 95%var)",Decision Tree,10.0,10,1.6952074991611532,1.2708503614784332,-0.0979858672224494,0.4270096351592112,0.6454545454545455
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,2,1.7056057308448838,1.2000000000000006,-0.11149704758596757,0.44315782573231477,0.6636363636363637
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,5,1.7158111663391438,1.254749180313701,-0.1248380529307056,0.4230782508686681,0.6636363636363637
"Ridge→PCA (top-100, 95%var)",Decision Tree,20.0,10,1.7233933128550738,1.2600279731356954,-0.13480130665958456,0.42667036725883445,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,2,1.7580981459830654,1.2727272727272732,-0.1809656130600905,0.4163979123425814,0.6090909090909091
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,5,1.7273065492401865,1.2782644599600588,-0.13996064833374233,0.42535273868338985,0.6363636363636364
"Ridge→PCA (top-100, 95%var)",Decision Tree,30.0,10,1.7466534087374577,1.3239526226970504,-0.1656401331294195,0.3981254465524378,0.6090909090909091
