dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
PCA (n_components=50),Random Forest,50,10.0,1.244920032196826,0.9834427701681331,0.40784700409119823,0.6411010641136293,0.7636363636363637
PCA (n_components=50),Random Forest,50,20.0,1.241481519651567,0.9689090909090909,0.4111135811045501,0.6512226633935579,0.7727272727272727
PCA (n_components=50),Random Forest,50,30.0,1.2054557795139713,0.9496363636363635,0.444794720389024,0.6690870553073471,0.7909090909090909
PCA (n_components=50),Random Forest,50,,1.1987190132500913,0.9369090909090909,0.450982980201459,0.6670962726326065,0.7727272727272727
PCA (n_components=50),Random Forest,100,10.0,1.2111464076733336,0.9580876791955134,0.439540401909683,0.6750220724754951,0.7636363636363637
PCA (n_components=50),Random Forest,100,20.0,1.2254394388062668,0.9714545454545455,0.42623410906564785,0.652790396852793,0.7727272727272727
PCA (n_components=50),Random Forest,100,30.0,1.2421839272390016,0.9906363636363636,0.410447030218826,0.6342081020668594,0.7636363636363637
PCA (n_components=50),Random Forest,100,,1.211233030653249,0.966181818181818,0.43946022924626627,0.6770105887539273,0.7545454545454545
"Lasso→PCA (top-100, 95%var)",Random Forest,10,10.0,1.319129764136524,1.0562280803682425,0.3351463466155019,0.5395324511142677,0.7545454545454545
"Lasso→PCA (top-100, 95%var)",Random Forest,10,20.0,1.3749049553927852,1.1036363636363635,0.27773532476554363,0.5213839028439807,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Random Forest,10,30.0,1.395447142414476,1.1236363636363635,0.2559916637721432,0.48207746975586724,0.7
"Lasso→PCA (top-100, 95%var)",Random Forest,10,,1.37748123234204,1.0963636363636362,0.275026050712053,0.4814892205260438,0.7
"Lasso→PCA (top-100, 95%var)",Random Forest,20,10.0,1.323648849395746,1.0490091919045383,0.3305832218974124,0.5373197583517684,0.7454545454545455
"Lasso→PCA (top-100, 95%var)",Random Forest,20,20.0,1.3814847085653899,1.1127272727272728,0.27080583535949987,0.49124094296659215,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Random Forest,20,30.0,1.3607985623422474,1.0890909090909089,0.2924800277874262,0.49217741179938335,0.7272727272727273
"Lasso→PCA (top-100, 95%var)",Random Forest,20,,1.3452188061291874,1.0713636363636365,0.3085880514067385,0.5323797288663232,0.7636363636363637
"Lasso→PCA (top-100, 95%var)",Random Forest,50,10.0,1.3644754523178682,1.0861484445702043,0.2886514116096369,0.5026874891478543,0.7090909090909091
"Lasso→PCA (top-100, 95%var)",Random Forest,50,20.0,1.3728455498318939,1.0974418256640477,0.2798973969911225,0.48811952879181886,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,50,30.0,1.3384237676528994,1.0634545454545454,0.3155554011809656,0.5307106632971625,0.7545454545454545
"Lasso→PCA (top-100, 95%var)",Random Forest,50,,1.3436666253204326,1.068,0.310182702327197,0.5217657219279788,0.7272727272727273
"Lasso→PCA (top-100, 95%var)",Random Forest,100,10.0,1.344992852898218,1.0813016216592815,0.3088203015692894,0.5088289575640572,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,100,20.0,1.3385742075398395,1.0842727272727273,0.31540152830844037,0.5208297231879485,0.7363636363636363
"Lasso→PCA (top-100, 95%var)",Random Forest,100,30.0,1.3624640112010966,1.084090909090909,0.2907471344216743,0.5023352522389696,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",Random Forest,100,,1.3150803639460076,1.055090909090909,0.3392219520666898,0.5460090369694771,0.7636363636363637
