dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
PCA (n_components=50) + SMOTE,Poisson Regression,0.1,1.257476405735011,0.9657011992773933,0.3831496404860698,0.665202192492951,0.7706422018348624
PCA (n_components=50) + SMOTE,Poisson Regression,0.5,1.203993300346298,0.9405499870707552,0.43450564673170855,0.6767327494457093,0.8073394495412844
PCA (n_components=50) + SMOTE,Poisson Regression,1.0,1.1895669994290194,0.9438141730767879,0.4479760157053717,0.6839535710900561,0.7981651376146789
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3371450992656924,1.0879656429688267,0.30251125187415395,0.6821329568343573,0.6422018348623854
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4474425371700341,1.1993265495724552,0.18269756097320666,0.677662021305389,0.6055045871559633
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.3475586654755325,1.100066342306963,0.2916049883665781,0.587750227698436,0.7064220183486238
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3343747191135162,1.0874316889803177,0.30539845872467797,0.5909410438288661,0.6788990825688074
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3396642742235045,1.0899350485679369,0.2998806452645977,0.5899643601396111,0.6697247706422018
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4532255837827095,1.2057334383767444,0.17615368790250652,0.5886557936433278,0.5779816513761468
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.5237143547666852,1.275746020788516,0.0942939889575467,0.5824685498837268,0.5871559633027523
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.5167557959424292,1.1692451094265703,0.1025475274132861,0.6146185115188643,0.7064220183486238
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.4060168486475724,1.10750878714245,0.22881036833112722,0.6350435276999838,0.7339449541284404
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3495141080527826,1.0754863028393449,0.2895475924944251,0.6500351482117528,0.7614678899082569
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.3977023277959515,1.140155939110892,0.23790430385944827,0.6582658418260573,0.6422018348623854
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4811711741133582,1.2219149089262165,0.14416383416416334,0.6593563139062936,0.6146788990825688
