feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
-13567.945347787216,-302.73738293421854,-1449.8292887703717,-1991.6132794691239,73.5512787099973,981.7499554606048,5.0
-13389.721052217945,-418.95379817232526,-982.6156606373007,-802.9086076761864,1040.4327103722812,683.9025645159843,2.0
-7652.846942732325,-1361.246799986199,1342.3569484861066,1071.9287623352259,-165.85011481812407,-624.2535075638709,3.0
-11761.793717278562,-768.2635719832426,807.7685842341501,2015.6918154792966,3061.7370975836066,113.55921548058456,4.0
3855.8176372184375,-2958.944212277653,1675.2027455838422,-1269.8548667403793,290.14594096346065,-4281.758764571499,5.0
-3728.999388577553,-1524.9728760750822,-3873.7581970857564,241.89153096705786,-1606.6093424307069,-807.8446906189423,0.0
-11756.28816630908,-411.85961387230606,-3376.7951423323743,-2344.40303802814,-297.60116432047454,1130.4264815437793,5.0
-14117.952296036043,-361.35051028977523,1476.8898632277162,964.5226469684228,7554.640344481545,589.931243384394,5.0
-6170.654594147386,-1367.9171514518441,-1289.2121097352333,-751.5199435520692,-565.2633056433566,-884.6584659408057,5.0
-3424.3211939032035,-1708.0240331339369,-1559.954980844573,-2646.7332626730145,-1162.3095662141334,-932.4581186529882,5.0
-15914.320411685478,47.04370739586231,-2765.170423458756,-1713.8427594799114,414.90685692590284,-1528.4178734972515,5.0
32845.58061455532,-7846.722072806206,19086.512445189077,8056.4956422865525,38890.128245376174,-5559.151204296201,3.0
20409.310957187474,-5198.684778195943,-2804.1634462168445,1769.3831322698738,191.05516381235995,4314.744384550546,1.0
2192.5503276167874,-2948.4599464779008,3388.236496347997,-454.28721523411326,315.0594871604815,-1555.6280763917377,3.0
8768.84611588872,-3150.788247605204,-3239.820181976659,-1379.1227676767892,-637.0238608928335,2857.7951056685747,2.0
11520.466273225697,-3769.2521766557375,-3032.138401995465,-2557.121404738632,-1269.2106376398726,1536.5137825114407,5.0
-9564.520572884232,5460.837512630739,-3883.603199190354,-1066.56684088205,609.6783232182795,2180.443565203351,4.0
-4538.22718906168,-827.5653735086698,7386.632248145279,895.9475083624993,-5125.888140596207,1438.8649469252166,3.0
18963.225629638266,-4914.612312309269,-1920.403247780362,-54.062940848401624,234.2179436708388,-2377.093885087081,2.0
-6515.141922082487,-1302.4957481618874,17.156848666883242,-2061.365507773711,-353.0970360857606,2308.1993883211567,2.0
-13240.81801097435,-736.545569891992,9287.857557304716,-3072.0070429704774,-651.608670867863,2372.556158019123,4.0
-389.08956967128273,-2074.339048887035,-2863.3524380876815,-1519.9945844202707,579.8254574299843,1211.4213703174605,4.0
-7265.70377388944,-1343.8833631882876,2366.3981997460833,1215.790450765647,5625.173824316771,3759.4610206178418,1.0
5357.165816727094,-3378.8648698453694,3245.4362671663566,-4315.619574992533,-1659.4879915506958,-3444.408614736134,3.0
-17027.23300348446,1482.8678897246273,-4322.831538346412,-896.5342087151654,55.8681809756864,-578.0876006956204,0.0
-8126.869242535229,-1083.4357187126373,-1874.7043545346476,-346.3681432742676,864.0486937383625,1501.7267410137267,3.0
447.4017977285778,-2395.081671868718,472.09480733352734,-4563.903962544069,-1548.578862890229,-2590.255689285275,3.0
20036.3287274244,-5515.680881474591,4594.281070033377,-3176.784521695229,-2732.448529265702,-3514.2127363640266,1.0
-4412.054124368458,-1685.972069671196,54.060042416524496,598.4905011761001,699.7137928766346,948.6602013851498,1.0
-9712.535247084326,-869.6080053067252,-976.9461916142308,-1394.983150244749,1870.8712332252974,17.692402150616953,5.0
-16453.747844618414,252.96728497807212,-4423.252207633146,317.6627405673271,-184.22835438265562,-563.1222611133043,0.0
-5611.286718158691,-1388.0922963023847,-1420.1764611440296,577.6749280265518,1671.9654405472368,2879.813177520608,5.0
-8251.950880772143,-1285.3710070413713,4734.232097399229,3136.910882881049,-770.4774879737622,-558.2506829016925,2.0
-8914.179018657978,-1306.9042084197163,4044.029303786749,-1526.1360349337708,3206.9574178181024,-1544.1008245416683,2.0
-11175.656961245284,-513.800683501974,-1760.9850714374054,1082.7973726653363,5345.747852555082,625.0061686023621,3.0
-11624.379580225153,-806.8840271348782,7503.1314787751135,-2767.078951868216,-2002.788591332431,2105.1447429396603,2.0
1649.5167132432405,-2483.8337736125527,1281.609940614236,-4223.645312864789,-2923.163357813758,879.676447596636,5.0
