dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4469147870399406,1.210277707865752,0.20009772801308767,0.5390982820027752,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4469147870399406,1.210277707865752,0.20009772801308767,0.5390982820027752,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2424668421782001,1.0176721179002564,0.41017845109291584,0.6519085730982986,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2424668421782001,1.0176721179002564,0.41017845109291584,0.6519085730982986,0.7545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2390843322834657,1.012686418547798,0.41338555722077175,0.6539695613731057,0.7727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2390843322834657,1.012686418547798,0.41338555722077175,0.6539695613731057,0.7727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,scale,1.3364222364670275,1.102241589223209,0.3176009609114676,0.6682212722398349,0.6636363636363637
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,auto,1.3364222364670275,1.102241589223209,0.3176009609114676,0.6682212722398349,0.6636363636363637
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,scale,1.18376432122702,0.9491121101126211,0.4645961219065391,0.679572845243357,0.8181818181818182
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,auto,1.18376432122702,0.9491121101126211,0.4645961219065391,0.679572845243357,0.8181818181818182
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,scale,1.2498084009487822,0.9954807184653107,0.4031875154601018,0.6246638757474405,0.7727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,auto,1.2498084009487822,0.9954807184653107,0.4031875154601018,0.6246638757474405,0.7727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.5318074714298813,1.2732603460126535,0.10348122873176546,0.4782691582678162,0.5636363636363636
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.5318074714298815,1.2732603460126535,0.10348122873176524,0.4782691582678162,0.5636363636363636
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.3089612897219751,1.0890934559244052,0.3453568517576665,0.6198456816821762,0.7181818181818181
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.3089612897219751,1.0890934559244054,0.3453568517576666,0.6198456816821762,0.7181818181818181
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3112888806901886,1.071205077741505,0.343026612892011,0.6125791995320742,0.7181818181818181
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.31128888069019,1.0712050777415052,0.34302661289200953,0.6125791995320742,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3868010314790273,1.1416197937558412,0.26518276797414964,0.5292728546792553,0.7
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3868010314790273,1.1416197937558412,0.26518276797414964,0.5292728546792553,0.7
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.209734795244316,0.9856729988853726,0.44084609159177224,0.6385743939243806,0.7727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.209734795244316,0.9856729988853726,0.44084609159177224,0.6385743939243806,0.7727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.1921793609405904,0.9473537875058167,0.45695700190413835,0.6597882799476162,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.1921793609405904,0.9473537875058167,0.45695700190413835,0.6597882799476162,0.7818181818181819
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.392816028355348,1.1619955526437429,0.2587946725502184,0.5300382328752687,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3928160283553477,1.1619955526437429,0.2587946725502185,0.5300382328752687,0.6454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.247179461420999,0.9941011898777905,0.4056956339390726,0.6010293659115123,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.247179461420999,0.9941011898777905,0.4056956339390725,0.6010293659115123,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2417668574033858,0.9963551508342353,0.41084285482458205,0.6023111438542333,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2417668574033849,0.996355150834236,0.4108428548245828,0.6023111438542333,0.8090909090909091
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.410772241525699,1.1572289034932366,0.23956021215512713,0.6228564766339634,0.6363636363636364
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,auto,1.410772241525699,1.1572289034932366,0.23956021215512713,0.6228564766339634,0.6363636363636364
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.19812802942372,0.929520993162734,0.45152419160130497,0.6655378378417642,0.8363636363636363
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.1981280294237202,0.929520993162734,0.45152419160130475,0.6655378378417642,0.8363636363636363
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.2650051393789201,0.9826407300418246,0.3885856884610668,0.6081344731407683,0.8
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.265005139378922,0.9826407300418264,0.388585688461065,0.6081344731407683,0.8
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4735013185822965,1.214105204568424,0.1704318341611175,0.5526491646418296,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4735013185822965,1.214105204568424,0.1704318341611175,0.5526491646418296,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2870137502729764,1.0626443087098199,0.3671257962032366,0.5780173021988482,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2870137502729764,1.0626443087098199,0.3671257962032366,0.5780173021988482,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3065487353999405,1.069098709752907,0.34776778125296903,0.5538202854959704,0.7181818181818181
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3065487353999405,1.069098709752907,0.34776778125296903,0.5538202854959704,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4508482382468597,1.2127607699074074,0.19574273307870171,0.5486424558928203,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4508482382468597,1.2127607699074074,0.19574273307870171,0.5486424558928203,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2918967075924188,1.088019407925929,0.3623144100740032,0.5603075573139865,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2918967075924188,1.088019407925929,0.3623144100740032,0.5603075573139865,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2991941223677996,1.0885550789043277,0.35508999501405336,0.5378764433163685,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2991941223677996,1.0885550789043277,0.35508999501405336,0.5378764433163685,0.7090909090909091
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,scale,1.397225876545616,1.1609906618215105,0.2540937252179467,0.5145001333537943,0.6818181818181818
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,auto,1.397225876545616,1.1609906618215105,0.2540937252179467,0.5145001333537943,0.6818181818181818
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,scale,1.2113967405112411,0.9883311203481535,0.43930869426419417,0.649902913367782,0.7818181818181819
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,auto,1.2113967405112411,0.9883311203481535,0.43930869426419417,0.649902913367782,0.7818181818181819
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,scale,1.2547137234759964,1.0334981421723448,0.3984935114043423,0.6129803314781775,0.7727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),10.0,auto,1.2547137234759964,1.0334981421723448,0.3984935114043423,0.6129803314781775,0.7727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.5166922684117676,1.2591338839527844,0.12108684238762202,0.45695383658004873,0.5545454545454546
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.5166922684117676,1.2591338839527844,0.12108684238762202,0.45695383658004873,0.5545454545454546
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.3186902675511405,1.1032261028528283,0.33558929353681566,0.5581266905265512,0.7363636363636363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.3186902675511405,1.1032261028528283,0.33558929353681566,0.5581266905265512,0.7363636363636363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3621183133327963,1.142691270555982,0.2911070060895312,0.5079390901433912,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3621183133327963,1.142691270555982,0.2911070060895312,0.5079390901433912,0.6818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3989693181633764,1.1596557825940865,0.22953236096869234,0.5374458322537128,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3989693181633764,1.1596557825940865,0.22953236096869234,0.5374458322537128,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.2039088078858184,1.000077244653432,0.4294086200471391,0.637617890619396,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.2039088078858184,1.000077244653432,0.4294086200471391,0.637617890619396,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2405250491159605,0.9986305751862646,0.3941723383147355,0.598218787453374,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2405250491159605,0.9986305751862646,0.3941723383147355,0.598218787453374,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3571091135480478,1.1309032135484687,0.27495066802741,0.5660426994545248,0.6363636363636364
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3571091135480478,1.1309032135484687,0.27495066802741,0.5660426994545248,0.6363636363636364
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.221786705765264,0.9931955514331812,0.41233637011793023,0.6088365275011594,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.221786705765264,0.9931955514331812,0.41233637011793023,0.6088365275011594,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2852947906963545,1.018759857387488,0.34965543148772316,0.579787645302657,0.7727272727272727
