dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.281117473971085,1.0079284517077045,0.35387591151808795,0.6063319954221205,0.7727272727272727
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.281117473971085,1.0079284517077045,0.35387591151808795,0.6063319954221205,0.7727272727272727
PCA (n_components=50),SVR (rbf),0.1,scale,1.5216498608827789,1.2513659945225895,0.08847730936337173,0.5693866879578456,0.5818181818181818
PCA (n_components=50),SVR (rbf),0.1,auto,1.5216498608827789,1.2513659945225895,0.08847730936337173,0.5693866879578456,0.5818181818181818
PCA (n_components=50),SVR (rbf),1.0,scale,1.2520020292147365,1.032014940761701,0.3829105972797505,0.6458141217509835,0.7363636363636363
PCA (n_components=50),SVR (rbf),1.0,auto,1.2520020292147365,1.032014940761701,0.3829105972797505,0.6458141217509835,0.7363636363636363
PCA (n_components=50),SVR (rbf),10.0,scale,1.2695805670411888,1.0046765282685433,0.365460656034475,0.585645390680888,0.7818181818181819
PCA (n_components=50),SVR (rbf),10.0,auto,1.2695805670411888,1.0046765282685433,0.365460656034475,0.585645390680888,0.7818181818181819
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.478203356681346,1.2074212361911911,0.13978622850018307,0.44690907317552897,0.5818181818181818
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.478203356681346,1.2074212361911911,0.13978622850018307,0.44690907317552897,0.5818181818181818
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.505321716236422,1.1941139902715165,0.10793463757766475,0.45829708367856203,0.6636363636363637
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.505321716236422,1.1941139902715165,0.10793463757766475,0.45829708367856203,0.6636363636363637
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.5548585386492688,1.2035261824859353,0.04825678650287857,0.442813263808703,0.6545454545454545
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.5548585386492688,1.2035261824859353,0.04825678650287857,0.442813263808703,0.6545454545454545
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.4963715918745992,1.2507191102819886,0.11851092901715277,0.5219804619755961,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.4963715918745992,1.2507191102819886,0.11851092901715277,0.5219804619755961,0.5909090909090909
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.3250883566728202,1.0826772683820023,0.3087618508856883,0.5418045483028687,0.7545454545454545
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.3250883566728202,1.0826772683820023,0.3087618508856883,0.5418045483028687,0.7545454545454545
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.331252471357812,1.0822391640920217,0.3023158177965576,0.547980549138657,0.7818181818181819
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.331252471357812,1.0822391640920217,0.3023158177965576,0.547980549138657,0.7818181818181819
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.490530957323512,1.2577494966281653,0.13331329802853575,0.5359528038872168,0.5963302752293578
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.484744817172063,1.2503804654680344,0.14002907565177813,0.5396035147645292,0.5963302752293578
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.3530130860836742,1.0991080318230535,0.28585873888752644,0.5576863865646198,0.7155963302752294
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.3552825471044359,1.0992847188629944,0.2834610163279868,0.5537322399780242,0.6972477064220184
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.319301149536846,1.0984917123065363,0.32100275246999654,0.5515702605493821,0.7247706422018348
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.3446494071038777,1.097618326544598,0.2946604092801821,0.5468575246895787,0.7064220183486238
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.4293857612300243,1.195883429570574,0.20296198588090386,0.6116126015237784,0.5963302752293578
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.4293857612300243,1.195883429570574,0.20296198588090386,0.6116126015237784,0.5963302752293578
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.17304343437526,0.9271389939103315,0.4632051776268029,0.7090533936673187,0.8256880733944955
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.17304343437526,0.9271389939103315,0.4632051776268029,0.7090533936673187,0.8256880733944955
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.142713956279391,0.9152664531222331,0.4906043931117292,0.7158854383091462,0.8256880733944955
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.142713956279391,0.9152664531222331,0.4906043931117292,0.7158854383091462,0.8256880733944955
PCA (n_components=50),SVR (rbf),0.1,scale,1.5288603209782885,1.2456616047755598,0.08816606511374858,0.5488630450806218,0.6055045871559633
PCA (n_components=50),SVR (rbf),0.1,auto,1.5288603209782885,1.2456616047755598,0.08816606511374858,0.5488630450806218,0.6055045871559633
PCA (n_components=50),SVR (rbf),1.0,scale,1.206733521933257,0.9404872120361414,0.43192865031102645,0.6820760626388668,0.7981651376146789
PCA (n_components=50),SVR (rbf),1.0,auto,1.206733521933257,0.9404872120361414,0.43192865031102645,0.6820760626388668,0.7981651376146789
PCA (n_components=50),SVR (rbf),10.0,scale,1.1558377864296143,0.9117777967919914,0.47883660018301644,0.689078789867166,0.8348623853211009
PCA (n_components=50),SVR (rbf),10.0,auto,1.1558377864296143,0.9117777967919914,0.47883660018301644,0.689078789867166,0.8348623853211009
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.4430162331781173,1.1984520971045522,0.18768856762115482,0.5466299479076163,0.6238532110091743
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.4430162331781173,1.1984520971045522,0.18768856762115482,0.5466299479076163,0.6238532110091743
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.3011322423162268,1.075195246763406,0.33957575270518636,0.5948145903051835,0.7247706422018348
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.3011322423162268,1.075195246763406,0.33957575270518636,0.5948145903051835,0.7247706422018348
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.4264791811628266,1.1848633545169631,0.20620015918600587,0.558084645933054,0.6697247706422018
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.4264791811628266,1.1848633545169631,0.20620015918600587,0.558084645933054,0.6697247706422018
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.5493342325022152,1.2791360426191338,0.06358067977008242,0.48474328676273354,0.5963302752293578
